"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"126","Bélé","D211","M","Boucy-boucy","Enfant",NA,5333.64677504892,5333.64677504892,"Dongou"
"127","Bélé","D212","F","Boucy-boucy","Adulte","1",19627.4237488695,35063.672240396,"Dongou"
"128","Bélé","D213","M","Dongou","Adulte","1",23012.175228206,72109.9021879649,"Dongou"
"129","Bélé","D214","M","Boucy-boucy","Adulte","3",19270.6104156053,787953.284553584,"Dongou"
"130","Bélé","D215","M","Boucy-boucy","Adolescent",NA,3497.38461590737,35063.672240396,"Dongou"
"131","Bélé","D216","M","Djoumbélé","Enfant",NA,3497.38461590737,26396.9267075426,"Dongou"
"132","Bélé","D217","M","Boucy-boucy","Enfant",NA,3144.39565620188,5333.64677504892,"Dongou"
"133","Bélé","D218","F","Boucy-boucy","Enfant",NA,5333.64677504892,5333.64677504892,"Dongou"
"134","Bélé","D219","F",NA,"Adulte","3",4415.51569547814,35063.672240396,"Dongou"
"135","Tangassi","D22","F","Boucy-boucy","Adulte",NA,23427.3700602249,40297.0946600054,"Dongou"
"136","Mokelegnegné","D220","F","Boucy-boucy","Adulte","3",2988.70771345522,222146.174721695,"Dongou"
"137","Mokelegnegné","D221","M","Djoumbelé","Adulte","3",39508.7736551987,123472.925954022,"Dongou"
"138","Mokelegnegné","D222","M","Boucy-boucy","Enfant",NA,2925.08005972534,2925.08005972534,"Dongou"
"139","Mokelegnegné","D223","F","Boucy-boucy","Enfant",NA,2925.08005972534,2925.08005972534,"Dongou"
"140","Massendjo","D224","F","Boucy-boucy","Adulte","2",74090.6193816399,104765.263542413,"Dongou"
"141","Mokelegnegné","D225","F","Mabanga","Enfant",NA,2925.08005972534,2925.08005972534,"Dongou"
"142","Ndzoumbele","D226","M","Bangui","Adulte","4",26317.1862823332,790524.105499889,"Dongou"
"143","Massendjo","D227","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"144","Ndzoumbele","D228","F","Boucy-boucy","Adulte","2",3028.9032993073,27589.1354724031,"Dongou"
"145","Massendjo","D229","F","Boucy-boucy","Enfant",NA,74090.6193816399,74090.6193816399,"Dongou"
"146","Tangassi","D23","M","Boucy-boucy","Adulte",NA,27109.7541607748,34579.689811197,"Dongou"
"147","Ndzoumbele","D230","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"148","Ndzoumbele","D231","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"149","Ndzoumbele","D232","F","Boucy-boucy","Adulte","2",3223.42620362349,73789.2882476169,"Dongou"
"150","Ndzoumbele","D233","M","Boucy-boucy","Enfant",NA,27589.1354724031,27589.1354724031,"Dongou"
"151","Ndzoumbele","D234","M","Boucy-boucy","Enfant",NA,18881.1308218218,27589.1354724031,"Dongou"
"152","Mabanga1","D235","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"153","Mabanga1","D236","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"154","Mabanga1","D237","F","Boucy-boucy","Enfant",NA,17213.3308525002,27586.0464578209,"Dongou"
"155","Mabanga1","D238","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"156","Mabanga1","D239","M","Manfoueté","Adulte","4",15565.2857697346,788623.668405881,"Dongou"
"157","Cacao","D24","M","Botanga","Adulte",NA,23932.4753254238,32231.654925458,"Dongou"
"158","Mabanga1","D240","F","Boucy-boucy","Adulte",NA,2834.3803949911,27586.0464578209,"Dongou"
"159","Mabanga1","D241","M","Boucy-boucy","Adulte",NA,22050.6426939421,788623.668405881,"Dongou"
"160","Mabanga1","D242","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"161","Mabanga1","D243","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"162","Mabanga1","D244","F","Boucy-boucy","Enfant",NA,2834.3803949911,27586.0464578209,"Dongou"
"163","Mabanga1","D245","F","Bongoye","Adulte","4",3544.52508164835,73207.2178183462,"Dongou"
"164","Kokosso","D246","F","Boucy-boucy","Enfant",NA,6929.31995237577,24120.0273086659,"Dongou"
"165","Kokosso","D247","M","Boucy-boucy","Enfant",NA,6567.53089270693,70184.0486742242,"Dongou"
"166","Kokosso","D248","M","Boucy-boucy","Adolescent",NA,3817.6248337971,70184.0486742242,"Dongou"
"167","Kokosso","D249","M","Boucy-boucy","Enfant",NA,6929.31995237577,70184.0486742242,"Dongou"
"168","Cacao","D25","M","Maoangouma","Adulte",NA,23932.4753254238,32231.654925458,"Dongou"
"169","Kokosso","D250","F","Boucy-boucy","Adulte","8",9822.1186949114,24120.0273086659,"Dongou"
"170","Kokosso","D251","F","Boucy-boucy","Enfant",NA,3624.75764686816,24120.0273086659,"Dongou"
"171","Kokosso","D252","F","Boucy-boucy","Adulte","1",9822.1186949114,24120.0273086659,"Dongou"
"172","Kokosso","D253","F","Mafouete","Adulte","1",3721.19124033263,5306.46286482821,"Dongou"
"173","Kokosso","D254","M",NA,"Adulte","1",35998.5664202498,218908.019333256,"Dongou"
"174","Kokosso","D255","F",NA,"Enfant",NA,3721.19124033263,70184.0486742242,"Dongou"
"175","Kokosso","D256","F","Boucy-boucy","Enfant",NA,5306.46286482821,5306.46286482821,"Dongou"
"176","Kokosso","D257","M",NA,"Adulte","1",3817.6248337971,37512.1872824212,"Dongou"
"177","Kokosso","D258","F","Manfoueté","Adolescent",NA,3721.19124033263,37512.1872824212,"Dongou"
"178","Boleiké3","D259","M","Motaba","Personne âgée",NA,4747.21067011191,70296.5310618646,"Dongou"
"179","Cacao","D26","M","Bondzale","Enfant",NA,NA,-Inf,"Dongou"
"180","Kokosso","D260","F","Manfoueté","Adolescent",NA,3817.6248337971,70184.0486742242,"Dongou"
"181","Boleiké3","D261","F","Boucy-boucy","Enfant",NA,4747.21067011191,70296.5310618646,"Dongou"
"182","Boleiké3","D262","F","Boucy-boucy","Enfant",NA,4439.87617822571,24639.3244620974,"Dongou"
"183","Boleiké3","D263","F","Moumbelou","Adulte",NA,24639.3244620974,109495.857128397,"Dongou"
"184","Boleiké3","D264","M","Boucy-boucy","Enfant",NA,4024.17608216065,4747.21067011191,"Dongou"
"185","Boleiké3","D265","M","Boucy-boucy","Adulte",NA,5614.94219913927,70296.5310618646,"Dongou"
"186","Boleiké3","D266","F","Enyelle","Adulte","1",4747.21067011191,63341.4944424523,"Dongou"
"187","Boleiké3","D267","F","Boucy-boucy","Enfant",NA,10839.6958976892,24639.3244620974,"Dongou"
"188","Mabanga2","D268","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"189","Mabanga2","D269","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"190","Cacao","D27","F","Bondzale","Enfant",NA,NA,-Inf,"Dongou"
"191","Mabanga2","D270","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
