"","residence_camp","ref","sex","birthplace","age","have_children","children_alive","children_dead","median_dist","max_dist","region"
"158","Macao_camp9","M359","M","Macao","Adulte",1,"3","2",118300.640981196,161790.498088387,"Macao"
"159","Macao_camp10","M360","F","Macao","Adulte",1,"5","5",27783.0722781368,38515.9503622977,"Macao"
"160","Macao_camp4","M361","F","Macao","Adolescent",1,"2","0",30705.5996701294,33534.1429761364,"Macao"
"161","Pape_village","M362","M","Berandjokou","Adulte",1,"0","0",66402.1484988759,86026.7806383533,"Macao"
"162","Macao_camp10","M363","M","Macao","Adulte",1,"1","2",27783.0722781368,43328.2253242895,"Macao"
"163","Pape_village","M364","F","Pape_village","Adolescent",1,"0","0",46777.5163593986,91965.1280754605,"Macao"
"164","Pape_village","M365","M","Berandjokou","Adolescent",1,"0","0",46777.5163593986,46777.5163593986,"Macao"
"165","Pape_village","M366","F","Pape_village","Adolescent",1,"0","0",69371.3222174296,91965.1280754605,"Macao"
"166","Pape_village","M367","M","Bangui-motaba","Personne âgée",1,"3","5",87745.7550036022,129049.520639194,"Macao"
"167","Pape_village","M368","M","Pape_village","Adulte",1,"4","0",105029.87277941,163282.229199421,"Macao"
"168","Pape_village","M369","F","","Adolescent",1,"4","0",69371.3222174296,91965.1280754605,"Macao"
"169","Pape_village","M370","F","","Adulte",1,"4","0",31812.3240569426,46777.5163593986,"Macao"
"170","Pape_village","M370","F","Bangui","Personne âgée",1,"1","4",31812.3240569426,46777.5163593986,"Macao"
"171","Pape_village","M372","M","Pape_village","Personne âgée",1,"4","1",96704.9518099453,163282.229199421,"Macao"
"172","Bayamoto","M400","F","Bangui","",0,"0","",NA,-Inf,"Macao"
"173","Bete2","M375","","Bangui","Adolescent",0,"0","",69028.9010150724,91679.2167088814,"Macao"
"174","Bete1","M374","M","Bangui","Adulte",1,"1","0",31181.8601380369,46182.5040756221,"Macao"
"175","Bylikombo1","MI205","M","Mossombo","Adulte",1,"6","2",50086.3375905779,124879.538299559,"Minganga"
"176","Bylikombo1","MI206","F","Mossombo","Adulte",1,"6","2",19312.6790064674,75872.5526767324,"Minganga"
"177","Bylikombo1","MI209","F","Mossombo","Adulte",1,"5","1",24010.0708034357,75872.5526767324,"Minganga"
"178","Bylikombo1","MI211","F","Mossombo","Adulte",1,"3","0",24010.0708034357,75872.5526767324,"Minganga"
"179","Bylikombo1","MI212","M","Mossombo","Adolescent",0,"0",NA,24300.1225044234,159859.814529745,"Minganga"
"180","Bylikombo2","MI210","F","Mossombo","Personne âgée",1,"4","2",20197.9469006592,25167.9742996709,"Minganga"
"181","Bouma","MI154","M","Minganga","Adulte",1,"4","1",36737.3637134701,61512.065331846,"Minganga"
"182","Bouma","MI155","F","Minganga","Adulte",1,"4","1",36737.3637134701,61512.065331846,"Minganga"
"183","Bouma","MI156","F","Mbaya","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"184","Bouma","MI157","M","Minganga","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"185","Bouma","MI158","M","Mbaya","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"186","Bouma","MI159","F","Pokola","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"187","Bouma","MI160","M","Mossombo","Adulte",1,"5","0",61512.065331846,155690.072611605,"Minganga"
"188","Bouma","MI161","F","Impfondo","Adulte",1,"5","0",36883.222265333,137317.169288959,"Minganga"
"189","Bouma","MI162","F","Mossombo","Personne âgée",1,"5","5",61512.065331846,137317.169288959,"Minganga"
"190","Bouma","MI163","F","Minganga","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"191","Bouma","MI164","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"192","Bouma","MI165","F","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"193","Bouma","MI166","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"194","Bouma","MI178","F","Mossombo","Adolescent",0,"0",NA,27984.5061024109,61512.065331846,"Minganga"
"195","Bouma","MI179","F","Mossombo","Adolescent",0,"0",NA,36737.3637134701,61512.065331846,"Minganga"
"196","Bouma","MI180","F","Mossombo","Adulte",1,"3","0",36810.2929894015,91856.4107154401,"Minganga"
"197","Bouma","MI181","M","Mossombo","Adulte",1,"3","0",36883.222265333,91856.4107154401,"Minganga"
"198","Bylikombo1","MI204","M","Mbaya","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"199","Bylikombo1","MI207","M","Mossombo","Adulte",1,"5","1",24155.0966539296,101077.368882392,"Minganga"
"200","Bylikombo1","MI208","F","Mossombo","Personne âgée",1,"1","5",24010.0708034357,75872.5526767324,"Minganga"
"201","Bylikombo1","MI213","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"202","Bylikombo1","MI214","F","Mbili","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"203","Bylikombo1","MI215","F","Komo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"204","Bylikombo1","MI217","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"205","Bylikombo1","MI218","F","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"206","Bylikombo1","MI219","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"207","Bylikombo1","MI220","F","Mbaya","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"208","Bylikombo1","MI221","M","Mbaya","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"209","Bylikombo2","MI216","M","Mobangui","Adulte",1,"4","2",63316.3530569365,125764.744236896,"Minganga"
"210","Bylikombo2","MI222","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"211","Bylikombo2","MI223","F","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"212","Bylikombo2","MI224","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"213","Bylikombo2","MI225","M","Mossombo","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"214","Bylikombo2","MI226","F","Mossombo","Adulte",1,"4","2",50111.2562250658,100257.707312892,"Minganga"
"215","Essesse","MI187","M","Mbili","Adulte",1,"5","2",37056.2834914006,137465.350036939,"Minganga"
"216","Essesse","MI188","F","Mossombo","Adulte",1,"5","2",37056.2834914006,61288.2741304611,"Minganga"
"217","Essesse","MI189","F","Mossombo","Adolescent",1,"2","0",36901.2018340414,61288.2741304611,"Minganga"
"218","Essesse","MI190","M","Essesse","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"219","Essesse","MI191","M","Mbaya","Enfant",0,"0",NA,NA,-Inf,"Minganga"
"220","Essesse","MI192","F","Toukoulaka","Adolescent",0,"0",NA,28173.8878017831,61288.2741304611,"Minganga"
"221","Essesse","MI193","F","Mossombo","Personne âgée",0,"0",NA,NA,-Inf,"Minganga"
