"","Nom.du.campement.coded","Old_person","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Oui.","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","Tranche.d.age","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","median","max"
"24","Bylikombo1",0,"Enfant","MI204","M",0,NA,NA,"Mbaya","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"25","Bylikombo1",0,"Adulte","MI207","M",1,5,1,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99015.8056074964,101077.368882392,0,0,0,0,0,0,75872.5526767324,24300.1225044234,24010.0708034357,14615.287209499,14378.8147186411,0,0,0,0,0,0,0,0,0,14622.5960123195,0,24155.0966539296,101077.368882392
"26","Bylikombo1",1,"Personne âgée","MI208","F",1,1,5,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75872.5526767324,24300.1225044234,24010.0708034357,14615.287209499,14378.8147186411,0,0,0,0,0,0,0,0,0,0,0,24010.0708034357,75872.5526767324
"27","Bylikombo1",0,"Enfant","MI213","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"28","Bylikombo1",0,"Enfant","MI214","F",0,NA,NA,"Mbili","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"29","Bylikombo1",0,"Enfant","MI215","F",0,NA,NA,"Komo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"30","Bylikombo1",0,"Enfant","MI217","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"31","Bylikombo1",0,"Enfant","MI218","F",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"32","Bylikombo1",0,"Enfant","MI219","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"33","Bylikombo1",0,"Enfant","MI220","F",0,NA,NA,"Mbaya","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"34","Bylikombo1",0,"Enfant","MI221","M",0,NA,NA,"Mbaya","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"35","Bylikombo2",0,"Adulte","MI216","M",1,4,2,"Mobangui","Adulte",0,0,0,0,0,0,0,0,125764.744236896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98639.454792017,0,0,0,55632.6257355725,0,0,0,0,0,100257.707312892,0,0,0,0,0,0,75054.5381504606,25167.9742996709,24892.005416506,15503.8883848124,13563.5585566147,71000.0803783005,0,0,0,0,0,0,0,0,0,0,63316.3530569365,125764.744236896
"36","Bylikombo2",0,"Enfant","MI222","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"37","Bylikombo2",0,"Enfant","MI223","F",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"38","Bylikombo2",0,"Enfant","MI224","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"39","Bylikombo2",0,"Enfant","MI225","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"40","Bylikombo2",0,"Adulte","MI226","F",1,4,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98639.454792017,0,0,0,0,0,0,0,0,98292.0464745734,100257.707312892,0,0,0,0,0,0,75054.5381504606,25167.9742996709,24892.005416506,15503.8883848124,13563.5585566147,0,0,0,0,0,0,0,0,0,0,0,50111.2562250658,100257.707312892
"41","Essesse",0,"Adulte","MI187","M",1,5,2,"Mbili","Adulte",0,0,0,0,0,0,0,0,137465.350036939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14858.3080405246,85962.1507082522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,36901.2018340414,37056.2834914006,28173.8878017831,0,0,0,0,0,0,0,0,0,0,0,0,37056.2834914006,137465.350036939
"42","Essesse",0,"Adulte","MI188","F",1,5,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,0,37056.2834914006,28173.8878017831,0,0,0,0,0,0,0,0,0,0,0,0,37056.2834914006,61288.2741304611
"43","Essesse",0,"Adolescent","MI189","F",1,2,0,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14858.3080405246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,36901.2018340414,37056.2834914006,28173.8878017831,0,0,0,0,0,0,0,0,0,0,0,0,36901.2018340414,61288.2741304611
"44","Essesse",0,"Enfant","MI190","M",0,NA,NA,"Essesse","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"45","Essesse",0,"Enfant","MI191","M",0,NA,NA,"Mbaya","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"46","Essesse",0,"Adolescent","MI192","F",0,NA,NA,"Toukoulaka","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14858.3080405246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,0,0,28173.8878017831,0,0,0,0,0,0,0,0,0,0,0,0,28173.8878017831,61288.2741304611
"47","Essesse",1,"Personne âgée","MI193","F",0,NA,NA,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"48","Essesse",0,"Adulte","MI195","M",0,NA,NA,"Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14858.3080405246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,36901.2018340414,37056.2834914006,28173.8878017831,0,78059.4872547086,0,0,0,0,0,0,0,0,0,0,36978.742662721,78059.4872547086
"49","Essesse",0,"Adolescent","MI196","F",0,NA,NA,"Mbili","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14858.3080405246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61288.2741304611,36901.2018340414,37056.2834914006,28173.8878017831,0,78059.4872547086,0,0,0,0,0,0,0,0,0,0,36978.742662721,78059.4872547086
