"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"11",23443.5035143352,3118.11973360904,17389.5105478241,17900.4339832355,18807.2294760767,21293.0532593486,25348.3347428076,20481.1008675511,19633.8919665792,27555.3624966172,28721.0607551732,31131.0303007079,30229.7909957957,"F","Personne âgée","Macao"
"12",37544.7405688822,5700.95575237959,26957.5335374988,27753.780948116,29175.5399639624,33516.8810701294,41119.8463531061,32043.6134463884,30618.9005546234,45067.5088583304,47238.5149866994,51480.0432500296,49808.4761914989,"M","Personne âgée","Macao"
"13",9343.96077382525,1506.1359274259,6520.04507072032,6726.44605917617,7132.34119075419,8290.54672664412,10238.3255150127,7892.24520972206,7509.98029137645,11317.6034251254,11938.1923023772,13075.7867726754,12665.7136679337,"F","Adolescent","Minganga"
"14",10698.6392832777,1782.88933687393,7391.75597528694,7652.32678983027,8114.62491974451,9438.24098835033,11787.5838680332,8982.81045206079,8528.27070442542,13060.9481336052,13728.2758195586,15135.4974575162,14621.2440625776,"M","Adolescent","Minganga"
"15",8576.7772271903,1118.80508882211,6401.40772009366,6580.95956504073,6928.22090995232,7820.15284563467,9255.63761055077,7515.11885635499,7215.21625676885,10055.7381346283,10469.1709777251,11305.614177315,11001.4745927788,"F","Adulte","Minganga"
"16",14878.4142922844,2002.34038765927,11001.683296457,11347.4048302344,11944.0562206237,13487.9638138448,16145.2705682323,12934.5743553003,12445.8015574532,17471.9875459623,18261.6122524525,19770.2137830899,19160.7072448617,"M","Adulte","Minganga"
"17",10438.3885559867,1503.40453107232,7614.61484056708,7831.67390042819,8239.25242705051,9389.4188220899,11364.068561174,8985.90415151907,8616.30147001201,12404.6854084365,13002.7378375829,14191.0188782709,13724.8671150888,"F","Personne âgée","Minganga"
"18",16734.4486723576,2804.19041841836,11496.1951245134,11857.0988832901,12629.8985510557,14757.9714375498,18448.7560584993,14046.3513413933,13329.3348801825,20452.4326928189,21513.7934662546,23672.1974785972,22829.8776050549,"M","Personne âgée","Minganga"
"19",34981.0697389596,4488.20031891791,26248.3346075323,26966.1307446141,28319.3142380234,31940.282136763,37711.3881264654,30726.4744704573,29580.3837560648,40987.7316099078,42697.7151667788,45893.5729025588,44594.9696658859,"F","Adolescent","Enyelle"
"20",40051.8505181873,5408.27799703726,29795.1829597672,30718.1366244873,32125.4731318239,36200.4476680821,43398.7445614459,34862.4859197265,33541.6861855852,47202.0458031211,49333.9895768091,53377.912586377,51949.569445835,"M","Adolescent","Enyelle"
"21",32125.2812819763,2967.53392432464,26140.0648869197,26686.3412789472,27589.3022815615,30087.4500874071,34056.1979398087,29216.5827849136,28426.8306249255,35977.2119823495,37012.7691830678,39105.7017073761,38269.5205332891,"F","Adulte","Enyelle"
"22",55701.9581930042,5184.36326066029,45231.1790362088,46175.8528134579,47773.4782340262,52086.7605846962,59127.7675359731,50716.435300002,49193.9437555397,62374.4202135111,64196.401299389,67882.750555686,66430.3990210555,"M","Adulte","Enyelle"
"23",39121.6397770566,4534.329491571,30288.7842749141,30999.8997389774,32324.8036251808,35974.429367263,41988.1325195116,34767.914298219,33522.0295761913,45012.5861674686,46669.7399906707,49993.47658657,48859.6627775103,"F","Personne âgée","Enyelle"
"24",62620.9594178308,8340.76406402007,46829.5727507336,48068.7423085764,50359.5798284996,56808.176985463,67813.2799353045,54530.5434062353,52428.4126408928,73541.1145081227,76734.9396876094,83169.4821002677,80702.014785273,"M","Personne âgée","Enyelle"
"25",16944.598972679,2617.96934006558,11961.0756660114,12350.2441756286,13099.1234377034,15103.9194918874,18546.5389672962,14433.5539877224,13790.1639038564,20435.4452933054,21404.0459836422,23368.8145487325,22674.8811436477,"F","Adolescent","Betou"
"26",19391.7028631753,3048.28192714844,13721.3541075871,14119.4799372834,14958.9009727173,17211.0143800909,21290.9677802165,16413.6568813719,15718.1866134874,23432.8981189932,24538.173729583,26909.8469097369,25958.4997795577,"M","Adolescent","Betou"
"27",15556.2149771476,1922.73326342037,11779.5324692095,12088.9600378149,12669.65574122,14205.1524333735,16771.0723024259,13699.9646042498,13187.6983666605,18095.9038411247,18796.6748139584,20164.4182186258,19568.5767703363,"F","Adulte","Betou"
"28",26984.5363276285,3447.52559008231,20332.7247293106,20936.9123983338,21907.3006570201,24567.6321401082,29139.9705412597,23668.1071736207,22752.3210057407,31508.2485028294,32703.5920833433,35300.657232368,34411.620683873,"M","Adulte","Betou"
"29",18937.4389615129,2638.4249066291,13850.4425436697,14275.2777069451,15044.281402324,17055.4629412051,20604.9386932192,16395.9802469298,15714.4539145777,22399.8191205948,23373.1749093784,25332.4450169892,24551.3376710796,"F","Personne âgée","Betou"
"30",30341.370526234,4862.90812447071,21186.2021516486,21829.1307479679,23194.551331411,26925.4117551057,33283.4498850863,25686.2442612789,24435.9552265147,36790.5669603858,38687.4633183815,42218.9425888352,40991.526765663,"M","Personne âgée","Betou"
