"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","median","max"
"14","Bokéya1",0,1,0,"MI110","F","Toukoulaka",NA,"Adulte",2441.20556453465,2269.93850144969,0,0,0,0,2301.16162045399,7584.78657077929,8684.70757814913,9185.81149924313,9975.40314477158,11840.8383864408,15902.4603793189,15951.3023354086,16152.2522056469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19047.8605437617,19394.168014374,11467.3402983625,17818.8668747982,0,0,0,0,0,11467.3402983625,19394.168014374
"15","Bokéya1",0,0,1,"MI111","F","Attention",NA,"Enfant",2441.20556453465,2269.93850144969,0,0,0,0,2301.16162045399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19394.168014374,11467.3402983625,0,0,0,0,0,0,2441.20556453465,19394.168014374
"16","Bokéya1",0,0,1,"MI112","M","Attention",NA,"Enfant",2441.20556453465,2269.93850144969,0,0,0,0,2301.16162045399,7584.78657077929,8684.70757814913,9185.81149924313,9975.40314477158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19394.168014374,11467.3402983625,0,0,0,0,0,0,8684.70757814913,19394.168014374
"17","Bokéya1",0,1,0,"MI113","M","Attention",NA,"Adulte",2441.20556453465,2269.93850144969,0,0,0,0,2301.16162045399,7584.78657077929,8684.70757814913,9185.81149924313,9975.40314477158,11840.8383864408,15902.4603793189,15951.3023354086,16152.2522056469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77553.7986320028,19047.8605437617,19394.168014374,11467.3402983625,17818.8668747982,0,0,0,0,0,11654.0893424016,77553.7986320028
"18","Moundouala1",0,1,0,"MI114","M","",NA,"Adulte",0,0,2441.20556453465,2765.38810894311,3312.37979917717,3462.98304230643,0,7478.8284048274,9287.11921272562,9957.93839292735,10937.2744591185,13467.7183631116,17965.1632647885,18016.0218425999,18249.0084055429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79973.4540143441,16788.2899545876,17050.0895978807,9036.4176782065,19962.8730411335,0,0,0,0,0,10937.2744591185,79973.4540143441
"19","Bokéya1",0,1,0,"MI115","F","Bène",NA,"Adulte",2441.20556453465,2269.93850144969,0,0,0,0,2301.16162045399,7584.78657077929,8684.70757814913,9185.81149924313,9975.40314477158,11840.8383864408,15902.4603793189,15951.3023354086,16152.2522056469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77553.7986320028,19047.8605437617,19394.168014374,11467.3402983625,17818.8668747982,0,0,0,0,0,11654.0893424016,77553.7986320028
"20","Bokéya1",0,1,0,"MI116","F","Minganga",NA,"Adulte",2441.20556453465,2269.93850144969,0,0,0,0,2301.16162045399,7584.78657077929,8684.70757814913,9185.81149924313,9975.40314477158,11840.8383864408,15902.4603793189,15951.3023354086,16152.2522056469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19047.8605437617,19394.168014374,11467.3402983625,17818.8668747982,0,0,0,0,0,11467.3402983625,19394.168014374
"21","Moundouala1",0,1,0,"MI117","F","Toukoulaka",NA,"Adulte",0,0,2441.20556453465,2765.38810894311,3312.37979917717,3462.98304230643,0,7478.8284048274,9287.11921272562,9957.93839292735,10937.2744591185,13467.7183631116,17965.1632647885,18016.0218425999,18249.0084055429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16788.2899545876,17050.0895978807,9036.4176782065,19962.8730411335,0,0,0,0,0,10447.6064260229,19962.8730411335
"22","Moundouala1",0,0,1,"MI118","M","Attention",NA,"Enfant",0,0,2441.20556453465,2765.38810894311,3312.37979917717,3462.98304230643,0,7478.8284048274,9287.11921272562,9957.93839292735,10937.2744591185,13467.7183631116,17965.1632647885,18016.0218425999,18249.0084055429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16788.2899545876,17050.0895978807,9036.4176782065,19962.8730411335,0,0,0,0,0,10447.6064260229,19962.8730411335
"23","Ndémiko",0,0,1,"MI119","M","Minganga",NA,"Enfant",3462.98304230643,3307.93809291307,0,0,0,0,3250.392007215,7283.85752063297,8036.69218239021,8457.09662493089,9159.38481959133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20166.4470397444,20488.4030588227,12405.064381551,16682.4570713522,0,0,0,0,0,8457.09662493089,20488.4030588227
"24","Makossa3",1,1,0,"MI12","F","Mossombo",5,"Personne âgée",18249.0084055429,18135.9743717931,16152.2522056469,15780.2744202094,15174.8209355137,15016.1899778387,17925.2081375192,15161.8323621648,12557.2287500892,11748.2197056644,10680.6172513185,6369.20790186196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12846.5461050492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63316.2681569639,35003.8117668715,35122.9771189301,26187.7318112722,0,0,0,0,0,0,15780.2744202094,63316.2681569639
