"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","median","max"
"21","Kombo2",0,0,"Oui","E117","M","Ibenga",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"22","Kombo2",0,0,"Oui","E118","F","Kombo2",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"23","Kombo2",0,0,"Oui","E119","F","Ibenga",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"24","Essembo3",0,0,"Oui","E12","F","Bétou",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13244.7800260204,0,0,0,0,0,48705.5734973461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30975.1767616832,48705.5734973461
"25","Kombo2",0,0,"Oui","E120","F","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"26","Kombo2",0,1,"Non","E121","F","Enyelle",NA,"Adulte",9865.61964328345,10891.8941339293,10935.6814351411,10967.2010959458,10912.9554273466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531.45169856961,0,0,0,0,0,72531.4615556838,79839.8454371039,0,0,0,0,0,0,126619.517893532,39271.8686010244,31751.9115183544,7089.40877028868,0,0,0,0,0,0,25823.6831635475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10967.2010959458,126619.517893532
"27","Kombo2",0,0,"Oui","E122","F","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"28","Kombo2",0,0,"Non","E123","F","Enyelle",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531.45169856961,0,0,0,0,0,0,79839.8454371039,0,0,0,0,0,0,126619.517893532,0,31751.9115183544,7089.40877028868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31751.9115183544,126619.517893532
"29","Kombo2",1,1,"Non","E124","F","Enyelle",NA,"Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531.45169856961,0,0,0,0,0,0,79839.8454371039,0,0,0,0,0,0,126619.517893532,39271.8686010244,31751.9115183544,7089.40877028868,0,0,0,0,0,0,25823.6831635475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31751.9115183544,126619.517893532
"30","Kombo2",0,0,"Non","E125","F","Enyelle",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531.45169856961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25823.6831635475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14177.5674310586,25823.6831635475
"31","Kombo2",0,0,"Oui","E126","F","Kombo2",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"32","Kombo2",0,0,"Non","E127","F","Enyelle",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531.45169856961,0,0,0,0,0,72531.4615556838,79839.8454371039,64984.2980268151,51951.5436331036,0,97825.5735164673,0,0,126619.517893532,39271.8686010244,31751.9115183544,7089.40877028868,0,0,0,0,0,0,0,0,0,0,0,0,44298.536996589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51951.5436331036,126619.517893532
"33","Bopongo",0,0,"Oui","E128","F","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"34","Bopongo",0,1,"Non","E129","M","Boyelé",NA,"Adulte",9714.65897068695,10886.3459484929,10921.6469409649,10987.8938276679,10970.7074131786,0,0,0,0,0,0,0,0,0,19929.2193508071,19830.8708805807,19782.9466808093,0,0,0,0,14843.8214571404,0,0,0,0,0,2357.56544914674,2531.45169856961,2617.16566830872,2813.93587762802,3079.55857038282,74580.3305486522,81882.2150312243,67007.3252505513,53909.0066606627,0,0,108801.45730865,118239.982809982,128616.80901772,41727.1422015395,34279.7378552076,6708.88196601732,0,58543.9197384673,0,0,42169.0688285627,68477.1147491677,23352.2033650519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19880.0451156939,128616.80901772
"35","Essembo3",0,1,"","E13","M","Bétou",NA,"Adulte",10275.0890789261,9026.49090692525,9001.65071215168,8905.02884124443,8890.21328437708,0,0,0,0,6931.84002062139,6788.78574759989,0,5527.62750249448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13244.7800260204,0,0,0,0,31907.5396058015,48705.5734973461,36562.4147090272,0,0,0,0,0,0,0,0,0,0,0,0,0,128818.17929109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9026.49090692525,128818.17929109
"36","Bopongo",0,1,"Non","E130","M","Enyelle",NA,"Adulte",9714.65897068695,10886.3459484929,10921.6469409649,10987.8938276679,10970.7074131786,0,0,0,13287.3931577771,12851.8684288199,12994.1615475809,0,0,0,19929.2193508071,0,0,0,0,0,0,14843.8214571404,25190.9677332211,0,0,0,0,2357.56544914674,2531.45169856961,2617.16566830872,2813.93587762802,3079.55857038282,74580.3305486522,81882.2150312243,67007.3252505513,53909.0066606627,275062.494310993,0,0,0,128616.80901772,41727.1422015395,34279.7378552076,6708.88196601732,0,58543.9197384673,0,0,42169.0688285627,68477.1147491677,23352.2033650519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14843.8214571404,275062.494310993
"37","Bopongo",0,0,"Oui","E131","M","Bopongo",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"38","Bopongo",0,1,"Non","E132","M","Boyelé",NA,"Adulte",9714.65897068695,10886.3459484929,10921.6469409649,10987.8938276679,10970.7074131786,0,0,0,0,0,0,0,0,0,19929.2193508071,0,0,0,0,0,0,0,0,0,0,0,0,2357.56544914674,2531.45169856961,0,2813.93587762802,0,0,81882.2150312243,0,0,0,0,0,0,128616.80901772,0,34279.7378552076,6708.88196601732,0,0,0,0,42169.0688285627,68477.1147491677,23352.2033650519,0,0,111737.941703159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10987.8938276679,128616.80901772
"39","Bopongo",0,0,"Oui","E133","F","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"40","Bopongo",0,1,"Non","E134","F","Enyelle",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19929.2193508071,19830.8708805807,19782.9466808093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68477.1147491677,23352.2033650519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19929.2193508071,68477.1147491677
"41","Bopongo",0,0,"Oui","E135","F","Bopongo",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"42","Bopongo",0,0,"Oui","E136","F","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"43","Bopongo",0,1,"Non","E137","M","Enyelle",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19929.2193508071,19830.8708805807,19782.9466808093,19443.6257549734,19667.0559108832,0,0,14843.8214571404,0,0,0,0,0,2357.56544914674,2531.45169856961,2617.16566830872,2813.93587762802,3079.55857038282,74580.3305486522,81882.2150312243,0,0,0,0,0,0,128616.80901772,0,0,6708.88196601732,0,0,0,0,0,68477.1147491677,23352.2033650519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19667.0559108832,128616.80901772
"44","Bopongo",0,0,"Oui","E138","F","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"45","Bopongo",0,0,"Oui","E139","M","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
