"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_live","region"
"178","Boleiké3","D259","M","Motaba","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"180","Kokosso","D260","F","Manfoueté","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"183","Boleiké3","D263","F","Moumbelou","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"185","Boleiké3","D265","M","Boucy-boucy","Adulte",10839.6958976892,10839.6958976892,10839.6958976892,4,1,"Dongou"
"186","Boleiké3","D266","F","Enyelle","Adulte",40642.179361327,63341.4944424523,17942.8642802016,4,2,"Dongou"
"192","Mabanga2","D271","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"193","Mabanga2","D272","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"197","Mabanga2","D276","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"202","Bélé","D280","M","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"204","Bélé","D282","M",NA,"Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"205","Bélé","D283","F","Manfoueté","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"208","Bélé","D286","M","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"209","Massendjo","D287","M","Losso","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"215","Massendjo","D292","F","Dongou","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"216","Massendjo","D293","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"218","Massendjo","D295","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"227","Massendjo","D302","F","Manfoueté","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"230","Massendjo","D305","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"231","Massendjo","D306","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"236","Kokosso","D310","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"237","Kokosso","D311","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"238","Kokosso","D312","M","Boleiké","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"241","Kokosso","D315","M","Moangouma","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"242","Kokosso","D316","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"243","Kokosso","D317","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"244","Kokosso","D318","M","Manfoueté","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"249","Kokosso","D322","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"251","Kokosso","D324","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"253","Kokosso","D326","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"257","Cacao","D33","F","Manfoueté","Adulte",3454.88978507931,3454.88978507931,3454.88978507931,2,1,"Dongou"
"258","Kokosso","D330","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"259","Kokosso","D331","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"265","Kokosso","D337","F","Losso","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"268","Cacao","D34","F","Manfoueté","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"272","Boleiké2","D343","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"273","Boleiké2","D344","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"274","Boleiké2","D345","M","Malala","Adulte",NA,-Inf,-Inf,5,0,"Dongou"
"275","Boleiké2","D346","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,1,0,"Dongou"
"276","Boleiké2","D347","M","Manfouté","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"278","Boleiké2","D349","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"279","Cacao","D35","M","Maoangouma","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"280","Boleiké2","D350","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"282","Boleiké2","D352","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"283","Boleiké2","D353","M","Manfouté","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"287","Boleiké2","D357","F","Dongou","Adolescent",NA,-Inf,-Inf,4,0,"Dongou"
"288","Boleiké2","D358","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"289","Boleiké2","D359","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Dongou"
"291","Boleiké2","D360","M","Dongou","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"292","Boleiké2","D361","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,6,0,"Dongou"
"294","Kokosso","D363","F","Manfoueté","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"296","Kokosso","D365","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"297","Kokosso","D366","F","Mindjoukou","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"298","Kokosso","D367","M","Bolomo","Personne âgée",NA,-Inf,-Inf,1,0,"Dongou"
"299","Boleiké1","D368","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,7,0,"Dongou"
"300","Boleiké1","D369","M","Manfoueté","Personne âgée",NA,-Inf,-Inf,8,0,"Dongou"
"301","Cacao","D37","M","Bondzale","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"305","Boleiké3","D373","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"307","Boleiké3","D375","M","Boucy-boucy","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"308","Boleiké3","D376","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"311","Boleiké3","D379","M","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"312","Bokoko","D38","F","Ndzoumbele","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"313","Boleiké3","D380","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"314","Boleiké3","D381","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"317","Mokombo1","D384","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"319","Mokombo1","D386","M","Longa","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"321","Mokombo2","D388","F","Village Mapoté","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"323","Bokoko","D39","M","Ndzoumbele","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"325","Bagorhé","D391","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"328","Bagorhé","D394","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"329","Bagorhé","D395","M","Mimbelli","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"330","Bagorhé","D396","M","Mimbelli","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"334","Safou","D4","M","Boucy-boucy","Personne âgée",24207.9944442135,29698.4559851022,18717.5329033249,2,2,"Dongou"
"335","Bokoko","D40","F","Moangouma","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"337","Mossimbi2","D401","F","Dongou","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"338","Mossimbi2","D402","F","Botanga","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"340","Mossimbi2","D404","M","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"345","Mossimbi2","D409","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"347","Mossimbi2","D410","M","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"350","Mossimbi2","D413","F","Dongou","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"351","Mossimbi2","D414","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"352","Mossimbi2","D415","M","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"353","Mossimbi2","D416","F","Mossimbi","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"356","Mossimbi2","D419","F","Dongou","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"357","Bokoko","D42","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"358","Mossimbi1","D420","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"362","Mokombo1","D424","F","Mokombo 1","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"364","Bokoko","D43","M",NA,"Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"365","Tangassi","D44","M","Moangouma","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"368","Ngomba","D47","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"369","Ngomba","D48","M","Boucy-boucy","Adulte",207234.411161474,207234.411161474,207234.411161474,2,1,"Dongou"
"370","Ngomba","D49","M","Modzaka","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"372","Ngomba","D50","F","Impfondo","Adolescent",34633.5082142848,34633.5082142848,34633.5082142848,2,1,"Dongou"
"373","Ngomba","D51","M","Moangouma","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"374","Ngomba","D52","F","Modzaka","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"375","Tali","D53","F","Dongou","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"378","Tali","D56","M","Moangouma","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"380","Tali","D58","F","Moangouma","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"384","Tali","D61","F","Moangouma","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"388","Tali","D65","M","Dongou","Adulte",103302.796578113,103302.796578113,103302.796578113,10,1,"Dongou"
"390","Tali","D67","F","Moangouma","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"391","Tali","D68","F","Dongou","Personne âgée",NA,-Inf,-Inf,6,0,"Dongou"
"393","Tangassi","D7","M","Moangouma","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"396","Bokombo6","D72","F",NA,"Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"397","Bokombo6","D73","M","Ikouangala","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"398","Bokombo6","D74","M","Dongou","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"400","Bokombo6","D76","F",NA,"Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"401","Bokombo6","D77","M","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"402","Bokombo6","D78","F","Bangui","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"404","Safou","D8","F","Losso","Adulte",29698.4559851022,29698.4559851022,29698.4559851022,1,1,"Dongou"
"408","Bokombo6","D83","F","Dongou","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"409","Bokombo4","D84","F","Manfoueté","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"412","Bokombo4","D87","F","Ikouangala","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"413","Bokombo4","D88","M","Ikouangala","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"415","Tangassi","D9","F","Dongou","Personne âgée",71215.694919148,107851.700027099,34579.689811197,4,2,"Dongou"
"416","Bokombo3","D90","F","Dongou","Adulte",42283.8925024726,65114.034404681,19453.7506002642,3,2,"Dongou"
"417","Bokombo5","D91","F","Ikouangala","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"418","Bokombo5","D92","F","Manfoueté","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"420","Bokombo3","D94","M","Sambala","Adulte",65114.034404681,65114.034404681,65114.034404681,3,1,"Dongou"
"425","Bokombo4","D99","M","Bétou","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"410","Kakélo6","M151","F","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"5","Boua2","M75","F","Bangui","FALSE",1874.17275648421,1874.17275648421,1874.17275648421,6,1,"Macao"
"710","Kakélo4","M167","M","Bangui","Adulte",NA,-Inf,-Inf,11,0,"Macao"
"810","Boua1","M90","F","Bangui","Adulte",966.229057544695,1752.49987354925,179.958241540146,10,2,"Macao"
"910","Kakélo6","M111","F","Bangui","Adulte",11840.2978704713,11840.2978704713,11840.2978704713,9,1,"Macao"
"1010","Kakélo4","M119","F","Bangui","Adolescent",11509.7489234474,11509.7489234474,11509.7489234474,8,1,"Macao"
"1310","Kakélo2","M132","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"15","Kakélo5","M142","M","Bangui","Adolescent",NA,-Inf,-Inf,7,0,"Macao"
"17","Boua1","M63","F","Bangui","Personne âgée",NA,-Inf,-Inf,5,0,"Macao"
"181","Bateké1","M11","M","Djoubou","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"194","Kakélo4","M162","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"22","Boua2","M130","M","Bangui","Adulte",NA,-Inf,-Inf,13,0,"Macao"
"23","Boua2","M126","M","Bangui","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"277","Boua1","M68","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"31","Mopendé","M36","F","Papé","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"32","Kakélo1","M94","M","Bangui","Personne âgée",10804.3359712803,10804.3359712803,10804.3359712803,2,2,"Macao"
"331","Bakouengué","M32","F","Bayanga","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"35","Kakélo2","M84","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"371","Bateké2","M15","F","Maca","Adolescent",NA,-Inf,-Inf,6,0,"Macao"
"381","Moyimbi","M2","M","Dongou","Adulte",35003.7855742702,35003.7855742702,35003.7855742702,4,1,"Macao"
"39","Boua2","M74","M","Bangui","Adulte",1874.17275648421,1874.17275648421,1874.17275648421,3,1,"Macao"
"40","Moyimbi","M5","F","Mobongo","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"411","Bakouengué","M26","F","Macao","Adulte",24156.7445854683,24156.7445854683,24156.7445854683,4,1,"Macao"
"42","Kakélo6","M154","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"43","Movossovosso","M81","M","Dongou","Personne âgée",3939.02498232609,3939.02498232609,3939.02498232609,3,1,"Macao"
"441","Boua1","M93","M","Bangui","Adolescent",1752.49987354925,1752.49987354925,1752.49987354925,10,1,"Macao"
"46","Boua2","M127","F","Bangui","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"47","Kakélo4","M116","F","Bangui","Adulte",11509.7489234474,11509.7489234474,11509.7489234474,2,1,"Macao"
"49","Kakélo1","M96","M","Bangui","Adulte",33844.7873375595,56885.2387038386,10804.3359712803,11,2,"Macao"
