"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Tranche.d.age","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","median","max","min","places_visited","total_gather"
"57","Makossa3",0,0,0,"MI3","F","","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
"58","Avocat",0,0,0,"MI30","M","Toukoulaka","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,17,0
"59","Epopé",1,1,0,"MI31","F","Toukoulaka","Personne âgée",0,0,0,2594.78777130577,3106.05657661027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850.42217395802,3106.05657661027,2594.78777130577,18,2
"60","Avocat",0,0,0,"MI32","M","Attention","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"61","Avocat",0,0,0,"MI34","M","Toukoulaka","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,17,0
"65","Avocat",0,1,0,"MI38","F","Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,18,0
"66","Avocat",0,1,0,"MI39","M","Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,20,0
"69","Avocat",1,1,0,"MI41","M","Minganga","Personne âgée",0,0,0,0,0,0,0,7307.86802039352,0,8547.03305701621,9263.42930555923,10931.578390827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8905.23118128772,10931.578390827,7307.86802039352,20,4
"70","Avocat",0,0,0,"MI42","F","Attention","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
"71","Avocat",0,1,0,"MI43","F","Attention","Adulte",0,0,0,0,0,0,0,0,8113.78042260879,0,9263.42930555923,10931.578390827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9263.42930555923,10931.578390827,8113.78042260879,18,3
"72","Avocat",1,1,0,"MI44","F","Bène","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,19,0
"73","Avocat",0,1,0,"MI45","M","Attention","Adulte",0,0,0,0,0,0,0,0,8113.78042260879,8547.03305701621,9263.42930555923,10931.578390827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8905.23118128772,10931.578390827,8113.78042260879,18,4
"75","Moundouala2",0,0,0,"MI47","M","Attention","Adolescent",0,0,0,0,0,0,0,7537.93364653566,0,0,0,13399.6244670648,17855.9098169815,17906.5574374995,18135.9743717931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17855.9098169815,18135.9743717931,7537.93364653566,18,5
"76","Moundouala2",0,0,0,"MI48","F","Attention","Adolescent",0,0,0,0,0,3307.93809291307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307.93809291307,3307.93809291307,3307.93809291307,18,1
"77","Moundouala2",0,0,0,"MI49","F","Attention","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,1,0
"79","Moundouala2",0,1,0,"MI50","M","Attention","Adulte",0,0,0,0,0,0,0,7537.93364653566,0,9956.7634994966,0,13399.6244670648,17855.9098169815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11678.1939832807,17855.9098169815,7537.93364653566,16,4
"82","Moundouala2",0,1,0,"MI53","F","","Adulte",0,0,0,0,0,0,445.36574490207,0,9297.72052380102,9956.7634994966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9297.72052380102,9956.7634994966,445.36574490207,20,3
"84","Bokéya2",0,1,0,"MI55","M","Attention","Adulte",0,0,0,0,0,0,0,7467.5444966458,8460.34096959093,8937.05379773415,9700.40473310127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8698.69738366254,9700.40473310127,7467.5444966458,19,4
"86","Bokéya2",1,1,0,"MI57","F","Minganga","Personne âgée",0,0,0,0,0,0,0,7467.5444966458,8460.34096959093,8937.05379773415,9700.40473310127,11494.2139861372,15530.926488803,15579.7322410547,15780.2744202094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17446.8304434043,0,0,11494.2139861372,17446.8304434043,7467.5444966458,17,9
"87","Bokéya2",1,1,0,"MI58","M","","Personne âgée",2765.38810894311,2600.25202794207,372.104745831167,0,0,0,0,7467.5444966458,8460.34096959093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765.38810894311,8460.34096959093,372.104745831167,9,5
"89","Makossa3",0,1,0,"MI6","F","Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,13,0
"92","Bokéya2",0,1,0,"MI62","F","Attention","Adulte",0,0,0,0,0,0,0,7467.5444966458,8460.34096959093,8937.05379773415,0,0,15530.926488803,15579.7322410547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8937.05379773415,15579.7322410547,7467.5444966458,20,5
"93","Epopé",0,1,0,"MI63","M","Attention","Adulte",0,0,0,0,0,0,0,7095.06219146973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7095.06219146973,7095.06219146973,7095.06219146973,16,1
"97","Epopé",0,1,0,"MI67","F","Toukoulaka","Adulte",0,0,0,0,0,0,0,7095.06219146973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19647.3839041298,0,0,13371.2230477998,19647.3839041298,7095.06219146973,19,2
"98","Makossa2",0,1,0,"MI68","F","Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,10,0
"100","Makossa3",1,1,0,"MI7","M","Mossombo","Personne âgée",0,0,0,0,0,0,0,0,12557.2287500892,11748.2197056644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12152.7242278768,12557.2287500892,11748.2197056644,9,2
"101","Makossa2",0,1,0,"MI70","M","Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,17,0
