"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","median","max"
"32","Kakélo1",1,1,"Non","M94","M","Bangui",NA,"Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10804.3359712803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10804.3359712803,10804.3359712803
"33","Bakouengué",0,1,"Non","M32","F","Bayanga",1,"Adulte",0,0,0,0,0,2354.70991101907,0,7363.72409611723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24156.7445854683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7363.72409611723,24156.7445854683
"34","Boua2",0,0,"Oui","M124","M","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"35","Kakélo2",0,1,"Non","M84","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009.72857423378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009.72857423378,2009.72857423378
"36","Kakélo2",0,0,"Oui","M85","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"37","Bateké2",0,0,"Non","M15","F","Maca",0,"Adolescent",13207.5851184748,13165.7680084803,14300.9832760043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118568.206103167,122718.935212352,0,0,0,0,0,0,153846.171141679,0,0,0,0,67676.3047524526,0,26986.3058374308,0,0,0,0,0,0,0,0,78921.9616328997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67676.3047524526,153846.171141679
"38","Moyimbi",0,1,"Non","M2","M","Dongou",6,"Adulte",0,0,0,0,0,0,0,0,4420.60165150573,0,0,0,0,0,0,0,0,0,0,0,108418.047006884,0,0,0,0,0,0,140070.127602649,0,0,0,0,0,0,0,0,0,0,0,0,35003.7855742702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71710.9162905771,140070.127602649
"39","Boua2",0,1,"Non","M74","M","Bangui",NA,"Adulte",0,0,0,0,0,23121.3337144739,0,0,13835.0055367336,10180.0960465773,0,0,2139.85027524602,9011.84018413536,8919.50767534176,9372.23789720004,9863.62628293346,9944.53369670127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874.17275648421,0,0,0,0,0,0,0,0,54223.313255282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9863.62628293346,54223.313255282
"40","Moyimbi",0,1,"Non","M5","F","Mobongo",2,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35003.7855742702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35003.7855742702,35003.7855742702
"41","Bakouengué",0,1,"Non","M26","F","Macao",4,"Adulte",0,0,0,5792.10744501965,5706.8278067743,2354.70991101907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23900.5982679839,0,0,0,0,0,24156.7445854683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5792.10744501965,24156.7445854683
