"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"131","Moyimbi","M8","F","Macao","Adulte","2",35003.7855742702,35003.7855742702,"Macao"
"132","Mopendé","M43","F","Papé","Enfant",NA,23853.8511006509,31106.7974446578,"Macao"
"133","Kakélo1","M145","F","Bangui","Adulte",NA,9011.84018413536,9172.8837897126,"Macao"
"134","Kakélo6","M153","M","Bangui","Adulte",NA,8148.95067736465,10411.3955637844,"Macao"
"135","Kakélo5","M102","F","Bangui","FALSE","0",50486.2716079486,50486.2716079486,"Macao"
"136","Kakélo6","M104","F","Bangui","Adulte","2",10235.1190240658,50376.2539772928,"Macao"
"137","Boua2","M136","F","Bangui","Adulte",NA,5575.84522969069,9011.84018413536,"Macao"
"138","Mopendé","M66","F","Macao","Enfant",NA,NA,-Inf,"Macao"
"139","Movossovosso","M82","F","Bangui","Personne âgée",NA,6779.67222175919,41137.6217843282,"Macao"
"140","Kakélo3","M141","F","Bangui","Personne âgée",NA,NA,-Inf,"Macao"
"141","Malomba","M58","M","Molapa_MA","Enfant",NA,9328.28308549739,38589.2466746511,"Macao"
"142","Bakouengué","M34","F","Bayanga","Enfant",NA,24156.7445854683,112920.903689219,"Macao"
"143","Atanga","M175","F","Macao","FALSE",NA,32571.7269187918,32571.7269187918,"Macao"
"144","Boua2","M71","F","Bangui","Adulte","2",9904.07998981736,48714.5232436876,"Macao"
"145","Atanga","M181","F","Macao","Enfant",NA,NA,-Inf,"Macao"
"146","Atanga","M174","M","Macao","Enfant",NA,16880.6737670422,32571.7269187918,"Macao"
"147","Kakélo2","M87","F","Bangui","Enfant",NA,31218.3545378526,51756.9057453129,"Macao"
"148","Papé","M53","F","Papé","Enfant",NA,34925.8157462238,34925.8157462238,"Macao"
"149","Boua2","M70","M","Bangui","Adulte","7",9617.93209006675,48714.5232436876,"Macao"
"150","Atanga","M180","F","Mabonga","Enfant",NA,NA,-Inf,"Macao"
"151","Molapa_MA","M18","M","Macao","Adulte","8",92148.2303272583,133383.076910343,"Macao"
"152","Molapa_MA","M22","M","Macao","Enfant",NA,13986.6892359348,25618.6685608506,"Macao"
"153","Kakélo6","M160","M","Kakélo6","Enfant",NA,NA,-Inf,"Macao"
