"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"11",29178.1853677942,4046.00575558645,21524.1228675072,22131.2391228285,23277.4677195864,26315.0244111302,31760.4562543455,25255.6866890246,24237.2507502132,34416.7556709615,36019.0218826047,39066.2695840631,37832.1019440833,"F","Personne âgée","Minganga"
"12",64028.6477133789,12449.4352220714,42304.4989426239,43771.95148192,46514.8733976774,55256.2218740389,71403.3884045789,52221.5486599756,49299.2126539819,80598.6475961609,85527.718459964,96128.7952936976,92371.0201206566,"M","Personne âgée","Minganga"
"13",28439.3231550152,4875.4780924665,19488.7159890767,20160.1030845396,21380.7175519843,24945.560015554,31464.673641523,23787.6171454238,22588.1918370745,34867.3633630834,36816.744940659,40410.8271879409,39033.8844745017,"F","Adolescent","Enyelle"
"14",32244.4478185666,6061.23862525904,21269.3539802412,22098.221429785,23605.7584013525,27925.9596730095,35895.6686141811,26434.3352457907,25036.8862144716,40263.9259616062,42797.7042995082,47418.1598185874,45609.4346254489,"M","Adolescent","Enyelle"
"15",33846.2374399278,3572.80962945056,26554.695216607,27188.2145616879,28341.1920496986,31355.1275422747,36201.15130493,30366.0579592026,29368.5246435204,38505.5232162768,39712.1068724764,41986.4226660886,41263.9091888669,"F","Adulte","Enyelle"
"16",57357.9716824275,6466.79626882382,44316.4413180793,45570.1813057529,47472.8409818745,52943.6023740901,61404.3367824883,51119.3517843623,49270.8024296817,65827.9519713473,68130.6413275367,72520.0042301355,70986.8711481135,"M","Adulte","Enyelle"
"17",39024.2517891516,5367.36381969636,28724.4264834444,29629.0151038822,31157.5905955934,35280.1522138196,42374.3940808069,33932.6603438132,32498.092135758,46162.3833420823,48290.3576597112,52041.7642644308,50753.857911469,"F","Personne âgée","Enyelle"
"18",85558.1112940352,16137.2383270206,56981.3255537793,59129.4301028793,62867.9358744735,74132.5578198216,95138.8976795426,70171.9880418488,66408.8838028428,106505.972949114,113777.453570736,128072.17633808,122155.102414658,"M","Personne âgée","Enyelle"
"19",49991.4614285811,10519.5009124333,31297.6318369175,32752.8604842511,35189.3241919561,42524.276496762,56164.0671983886,39953.2080425375,37500.4063210453,64019.6294472126,68325.2253747621,76636.7837569164,73781.6934343961,"F","Adolescent","Betou"
"20",56711.2255823966,12878.6252771503,34040.659197289,35884.0895742664,38910.9249587825,47570.3261379556,64141.2531048081,44510.2395970755,41731.3723320752,73555.3467991512,79156.2048161789,90600.0442761244,85936.7900394465,"M","Adolescent","Betou"
"21",59480.3826344636,9458.30153549266,41580.1178263553,42985.2465792553,45569.3261374934,52914.8579052312,65219.5546960697,50438.0299935759,47981.1220771339,71789.2939727684,75589.7303876441,82784.2399706439,80329.8398695878,"F","Adulte","Betou"
"22",100766.605866642,16300.497120376,69991.0165888613,72600.1896064894,77094.2224041771,89305.9321428234,110687.02329769,85097.6449943947,80930.490022717,121870.402390643,128900.070317476,141850.820893439,136728.615865617,"M","Adulte","Betou"
"23",68631.3896132671,12785.6842354946,45041.4691114241,47027.4958019634,50459.71030837,59576.0575900066,76320.1155473592,56344.6153452818,53325.4735841537,85428.1105229768,90743.8867941967,100290.876900952,96864.2564463154,"F","Personne âgée","Betou"
"24",150203.039530248,32741.7914061603,92486.4984153894,96349.9004821857,104459.527246228,126687.277125695,169469.294214089,119124.916456838,111349.966473686,193396.033899034,206387.738900097,234998.143852047,224054.885747618,"M","Personne âgée","Betou"
