"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"11",48353.4141301152,52144.783094205,9815.24092797437,13006.7278037408,18730.3351492735,31788.0375711558,53564.4547980445,28052.1345810362,24016.1316125707,73745.9409200464,91550.8471894412,151868.099671519,123575.667614428,"F","Personne âgée","Minganga"
"12",78415.320704918,89130.2075442115,11259.117090791,15178.2130937092,24602.8949286275,47520.4581669558,86474.5796503934,40385.2766688496,33066.9860583543,123313.308468334,156502.164464296,287332.10058108,225478.092215581,"M","Personne âgée","Minganga"
"13",23468.8101197815,4463.63528967647,15043.7160874711,15762.8178145242,17021.2390973979,20481.1584484319,25992.0680159987,19326.7024768548,18168.8055183745,29093.4746151998,31013.1300614557,35021.289785294,33290.0785209986,"F","Adolescent","Enyelle"
"14",39058.3180439453,25684.1642887456,12015.5728371651,14630.5886094106,19559.8731326516,29512.5164568892,43946.9969652172,26563.7833506562,23286.484955067,53708.5046654934,61576.8335181961,88363.9822616923,74319.111319483,"M","Adolescent","Enyelle"
"15",41057.5036526404,34502.2890665168,6157.40587155811,8941.99818148018,14198.9743979929,27698.1948765983,46006.607642438,23882.8282606166,19582.280090464,62043.2511228464,75255.3202914752,129828.814838144,102827.685808539,"F","Adulte","Enyelle"
"16",66799.7801093388,71797.877738013,7787.91908557807,10920.1263726535,18586.7232802016,41239.3812420082,74791.81291304,34122.6880409087,26849.5222628567,103862.360668019,130715.610161818,232128.301344473,182175.657746136,"M","Adulte","Enyelle"
"17",53677.4954676709,57365.3750627132,10715.4231477793,14130.7968540981,21313.919307365,35466.6779836562,58520.5295632118,31424.6308911578,26723.9136112123,81569.4251983632,103668.539662429,178473.053903863,142021.939275249,"F","Personne âgée","Enyelle"
"18",87070.1880975538,96894.7062173412,11468.2143926412,16664.2769817384,27350.2441109855,52872.6086176448,95877.4276127491,44938.4634239276,36372.0895098774,137629.994735714,176551.172278319,319851.065970737,255701.27879576,"M","Personne âgée","Enyelle"
"19",23722.2789677635,9991.38765735927,8789.25542603294,9607.0948802329,11274.701093563,16955.7839819411,27797.0457152256,14745.4171464259,12880.8688437098,36747.7178165349,42397.8042465414,53982.7003332025,49622.0292375627,"F","Adolescent","Betou"
"20",39494.2197978357,31649.6646980954,9415.72221400644,11283.759024927,14516.7352528601,24554.1455052358,46548.216812056,20906.8912590161,17606.2542562315,64070.9098624676,76615.9106209667,110563.974985539,95947.4843434445,"M","Adolescent","Betou"
"21",39985.1009723444,31383.0617871615,4759.55468458534,6609.45216366918,10609.4860730115,24441.564982058,49361.1151070303,19813.07848181,14996.1306581775,65404.9742245516,74478.0375819792,107914.532728687,90542.8914544874,"F","Adulte","Betou"
"22",64939.5380630565,61063.1966487248,5980.96751187352,8223.53681878403,14734.0104224753,36651.9500804503,78589.0524083576,29206.9818366507,21372.5678832028,107910.579560963,129589.189198313,212013.32244354,171686.859245282,"M","Adulte","Betou"
"23",51402.86038861,43869.4253753696,7777.64147783197,10643.3252338047,15874.432888894,32064.1340047553,61756.5465342546,26346.7773713025,20719.9192317273,82582.0394635904,97230.3955851744,145723.08798693,120116.927021164,"F","Personne âgée","Betou"
"24",83764.4566459057,82144.0777739248,9016.47106123943,12962.0571599902,21872.839894113,48060.0272254659,98950.0712300498,38633.5516707802,29554.7794788527,139380.10893542,170764.510257184,278559.415209216,231083.577015537,"M","Personne âgée","Betou"
