"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_gather","region"
"592","Mbila","MI168","M","Mossombo","Adulte",NA,-Inf,-Inf,1,0,"Minganga"
"601","Mbila","MI169","F","Mbili","Adulte",NA,-Inf,-Inf,3,0,"Minganga"
"661","Mbila","MI175","M","Minganga","Adulte",NA,-Inf,-Inf,3,0,"Minganga"
"671","Mbila","MI176","F","Mossombo","Adulte",NA,-Inf,-Inf,3,0,"Minganga"
"681","Mbila","MI177","M","Mossombo","Adulte",14603.8990702511,14603.8990702511,14603.8990702511,3,1,"Minganga"
"69","Misseké_MI","MI145","M","Attention","Adulte",NA,-Inf,-Inf,2,0,"Minganga"
"701","Misseké_MI","MI146","F","Attention","Adulte",NA,-Inf,-Inf,2,0,"Minganga"
"732","Misseké_MI","MI149","M","Ikelemba","Personne âgée",NA,-Inf,-Inf,4,0,"Minganga"
"741","Misseké_MI","MI150","M","Attention","Adulte",NA,-Inf,-Inf,1,0,"Minganga"
"752","Misseké_MI","MI151","F","Attention","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"781","Mongo","MI134","M","Minganga","Adulte",NA,-Inf,-Inf,3,0,"Minganga"
"802","Mongo","MI136","F","Mossombo","Adulte",NA,-Inf,-Inf,2,0,"Minganga"
"813","Mongo","MI137","F","Mossombo","Personne âgée",NA,-Inf,-Inf,4,0,"Minganga"
"822","Mongo","MI138","M","Mbili","Adulte",NA,-Inf,-Inf,2,0,"Minganga"
"871","Mongo","MI143","M","Mossombo","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"882","Mossombo","MI144","M","Mossombo","Adulte",NA,-Inf,-Inf,2,0,"Minganga"
"891","Ngata","MI182","F","Mbili","",NA,-Inf,-Inf,0,0,"Minganga"
"902","Ngata","MI183","F","Mbili","Personne âgée",NA,-Inf,-Inf,3,0,"Minganga"
"912","Ngata","MI184","M","Ikelemba","Adulte",NA,-Inf,-Inf,0,0,"Minganga"
"921","Ngata","MI185","M","Mbili","Adolescent",NA,-Inf,-Inf,5,0,"Minganga"
"218","Makossa1","MI10","M","Minganga","Adulte",NA,-Inf,-Inf,19,0,"Minganga"
"814","VMA","MI105","F","Mbili","Personne âgée",NA,-Inf,-Inf,4,0,"Minganga"
"910","VMA","MI106","F","Mossombo","Adulte",7295.86277051324,7584.78657077929,2814.01352185165,17,10,"Minganga"
"1011","Bokéya1","MI107","M","Attention","Adolescent",NA,-Inf,-Inf,14,0,"Minganga"
"1210","Bokéya1","MI109","M","Attention","Adulte",NA,-Inf,-Inf,18,0,"Minganga"
"1313","Makossa3","MI11","F","Mossombo","Personne âgée",NA,-Inf,-Inf,9,0,"Minganga"
"1411","Bokéya1","MI110","F","Toukoulaka","Adulte",9185.81149924313,19047.8605437617,7584.78657077929,18,5,"Minganga"
"176","Bokéya1","MI113","M","Attention","Adulte",NA,-Inf,-Inf,18,0,"Minganga"
"181","Moundouala1","MI114","M","","Adulte",9622.52880282648,9957.93839292735,9287.11921272562,18,2,"Minganga"
"192","Bokéya1","MI115","F","Bène","Adulte",11840.8383864408,16152.2522056469,8684.70757814913,17,7,"Minganga"
"204","Bokéya1","MI116","F","Minganga","Adulte",8684.70757814913,9185.81149924313,7584.78657077929,16,3,"Minganga"
"2110","Moundouala1","MI117","F","Toukoulaka","Adulte",9622.52880282648,13467.7183631116,7478.8284048274,16,4,"Minganga"
"241","Makossa3","MI12","F","Mossombo","Personne âgée",NA,-Inf,-Inf,16,0,"Minganga"
"277","Ndémiko","MI122","F","Toukoulaka","Adulte",8457.09662493089,10788.7283652747,7283.85752063297,17,5,"Minganga"
"281","Ndémiko","MI123","M","Minganga","Adulte",8036.69218239021,8457.09662493089,7283.85752063297,20,3,"Minganga"
"30","Ndémiko","MI125","M","Attention","Adulte",9974.05659243301,15016.1899778387,7283.85752063297,17,8,"Minganga"
"311","Ndémiko","MI126","M","Attention","Adolescent",8246.89440366055,8457.09662493089,8036.69218239021,18,2,"Minganga"
"321","Epopé","MI127","M","Attention","Adulte",13090.9381926525,17925.2081375192,8883.24445727768,18,7,"Minganga"
"331","Ndémiko","MI128","F","Attention","Adulte",9974.05659243301,15016.1899778387,7283.85752063297,17,8,"Minganga"
"34","Ndémiko","MI129","F","Bène","Adulte",9974.05659243301,15016.1899778387,7283.85752063297,17,8,"Minganga"
"352","Makossa1","MI13","F","Minganga","Adulte",NA,-Inf,-Inf,9,0,"Minganga"
"392","Epopé","MI133","F","Minganga","Adulte",11812.5010944918,17925.2081375192,7095.06219146973,18,8,"Minganga"
"414","Mbaya","MI15","F","Mbili","Adolescent",NA,-Inf,-Inf,12,0,"Minganga"
"433","Mbaya","MI17","M","Mossombo","Personne âgée",NA,-Inf,-Inf,22,0,"Minganga"
"442","Mbaya","MI18","F","Mbili","Adulte",NA,-Inf,-Inf,17,0,"Minganga"
"451","VMA","MI19","M","Minganga","Adolescent",NA,-Inf,-Inf,17,0,"Minganga"
"473","Mbaya","MI20","F","Mbaya","Adolescent",NA,-Inf,-Inf,10,0,"Minganga"
"481","Mbaya","MI21","F","Mossombo","Personne âgée",NA,-Inf,-Inf,13,0,"Minganga"
"492","Mbaya","MI22","M","Minganga","Adulte",NA,-Inf,-Inf,17,0,"Minganga"
"521","VMA","MI25","M","Minganga","Personne âgée",NA,-Inf,-Inf,11,0,"Minganga"
"532","VMA","MI26","F","Minganga","Personne âgée",NA,-Inf,-Inf,10,0,"Minganga"
"541","Bylikombo2","MI27","F","Minganga","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"552","Bylikombo2","MI28","F","Minganga","Personne âgée",NA,-Inf,-Inf,12,0,"Minganga"
"563","Bylikombo2","MI29","M","Minganga","Adulte",NA,-Inf,-Inf,8,0,"Minganga"
"571","Makossa3","MI3","F","","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"583","Avocat","MI30","M","Toukoulaka","Adolescent",NA,-Inf,-Inf,17,0,"Minganga"
"593","Epopé","MI31","F","Toukoulaka","Personne âgée",2850.42217395802,3106.05657661027,2594.78777130577,18,2,"Minganga"
"602","Avocat","MI32","M","Attention","Adolescent",NA,-Inf,-Inf,5,0,"Minganga"
"611","Avocat","MI34","M","Toukoulaka","Adolescent",NA,-Inf,-Inf,17,0,"Minganga"
"652","Avocat","MI38","F","Attention","Adulte",NA,-Inf,-Inf,18,0,"Minganga"
"662","Avocat","MI39","M","Attention","Adulte",NA,-Inf,-Inf,20,0,"Minganga"
"691","Avocat","MI41","M","Minganga","Personne âgée",8905.23118128772,10931.578390827,7307.86802039352,20,4,"Minganga"
"702","Avocat","MI42","F","Attention","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"713","Avocat","MI43","F","Attention","Adulte",9263.42930555923,10931.578390827,8113.78042260879,18,3,"Minganga"
"721","Avocat","MI44","F","Bène","Personne âgée",NA,-Inf,-Inf,19,0,"Minganga"
"733","Avocat","MI45","M","Attention","Adulte",8905.23118128772,10931.578390827,8113.78042260879,18,4,"Minganga"
"753","Moundouala2","MI47","M","Attention","Adolescent",17855.9098169815,18135.9743717931,7537.93364653566,18,5,"Minganga"
"761","Moundouala2","MI48","F","Attention","Adolescent",3307.93809291307,3307.93809291307,3307.93809291307,18,1,"Minganga"
"772","Moundouala2","MI49","F","Attention","Adolescent",NA,-Inf,-Inf,1,0,"Minganga"
"792","Moundouala2","MI50","M","Attention","Adulte",11678.1939832807,17855.9098169815,7537.93364653566,16,4,"Minganga"
"823","Moundouala2","MI53","F","","Adulte",9297.72052380102,9956.7634994966,445.36574490207,20,3,"Minganga"
"842","Bokéya2","MI55","M","Attention","Adulte",8698.69738366254,9700.40473310127,7467.5444966458,19,4,"Minganga"
"861","Bokéya2","MI57","F","Minganga","Personne âgée",11494.2139861372,17446.8304434043,7467.5444966458,17,9,"Minganga"
"872","Bokéya2","MI58","M","","Personne âgée",2765.38810894311,8460.34096959093,372.104745831167,9,5,"Minganga"
"892","Makossa3","MI6","F","Mbili","Adulte",NA,-Inf,-Inf,13,0,"Minganga"
"922","Bokéya2","MI62","F","Attention","Adulte",8937.05379773415,15579.7322410547,7467.5444966458,20,5,"Minganga"
"931","Epopé","MI63","M","Attention","Adulte",7095.06219146973,7095.06219146973,7095.06219146973,16,1,"Minganga"
"971","Epopé","MI67","F","Toukoulaka","Adulte",13371.2230477998,19647.3839041298,7095.06219146973,19,2,"Minganga"
"981","Makossa2","MI68","F","Minganga","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"1002","Makossa3","MI7","M","Mossombo","Personne âgée",12152.7242278768,12557.2287500892,11748.2197056644,9,2,"Minganga"
"1012","Makossa2","MI70","M","Mbili","Adulte",NA,-Inf,-Inf,17,0,"Minganga"
"1022","Makossa2","MI71","F","Mbili","Adulte",NA,-Inf,-Inf,17,0,"Minganga"
"1071","Makossa3","MI76","M","Mossombo","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"1082","Makossa3","MI77","F","Mbili","Adulte",NA,-Inf,-Inf,8,0,"Minganga"
"1091","Makossa3","MI78","F","Mossombo","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"1111","Makossa3","MI8","F","Mossombo","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"1131","Makossa3","MI81","M","Mossombo","Adolescent",NA,-Inf,-Inf,9,0,"Minganga"
"1182","Mbaya","MI86","F","","Adulte",NA,-Inf,-Inf,11,0,"Minganga"
"1202","Mbaya","MI88","M","Minganga","Adulte",NA,-Inf,-Inf,17,0,"Minganga"
"1232","Mbaya","MI90","M","Mossombo","Adulte",5840.83843336397,6262.38807279238,5419.28879393557,8,2,"Minganga"
"1251","Mbaya","MI92","F","Minganga","Adulte",NA,-Inf,-Inf,14,0,"Minganga"
"1292","Bylikombo2","MI96","M","Minganga","Adulte",NA,-Inf,-Inf,14,0,"Minganga"
"1314","VMA","MI98","M","Attention","Adulte",7387.70625851966,7584.78657077929,7283.85752063297,18,4,"Minganga"
"1321","Bylikombo2","MI99","F","Minganga","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"513","Lokoko1","E102","F","Enyelle","Adulte",NA,-Inf,-Inf,3,1,"Enyelle"
"714","Sobé","E104","M","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"815","Sobé","E105","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"913","Sobé","E106","F","Enyelle","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"1013","Molapa_EN","E107","M","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1110","Molapa_EN","E108","F","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"1315","Likeko","E11","M","","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"1412","Molapa_EN","E110","M","Enyelle","Adolescent",NA,-Inf,-Inf,5,0,"Enyelle"
"1512","Molapa_EN","E111","M","Enyelle","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"182","Kombo2","E114","M","Dongou","Adulte",39271.8686010244,39271.8686010244,39271.8686010244,19,1,"Enyelle"
"193","Kombo2","E115","F","Enyelle","Adolescent",NA,-Inf,-Inf,10,0,"Enyelle"
"262","Kombo2","E121","F","Enyelle","Adulte",72531.4615556838,72531.4615556838,72531.4615556838,7,1,"Enyelle"
"282","Kombo2","E123","F","Enyelle","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"291","Kombo2","E124","F","Enyelle","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"301","Kombo2","E125","F","Enyelle","Adolescent",NA,-Inf,-Inf,5,0,"Enyelle"
"322","Kombo2","E127","F","Enyelle","Adolescent",72531.4615556838,72531.4615556838,72531.4615556838,9,1,"Enyelle"
"341","Bopongo","E129","M","Boyelé","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"353","Essembo3","E13","M","Bétou","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"361","Bopongo","E130","M","Enyelle","Adulte",NA,-Inf,-Inf,10,0,"Enyelle"
"382","Bopongo","E132","M","Boyelé","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"403","Bopongo","E134","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"434","Bopongo","E137","M","Enyelle","Adulte",NA,-Inf,-Inf,13,0,"Enyelle"
"482","Bopongo","E141","F","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"493","Bopongo","E142","F","Enyelle","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"502","Bopongo","E143","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"522","Bopongo","E145","M","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"542","Coconacoco1","E147","F","Bongoye","Adulte",53266.426700519,53266.426700519,53266.426700519,8,1,"Enyelle"
"553","Coconacoco1","E148","M","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"594","Coconacoco1","E151","M","Enyelle","Adolescent",NA,-Inf,-Inf,4,0,"Enyelle"
"603","Coconacoco1","E152","F","Enyelle","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"612","Coconacoco1","E153","M","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"642","Coconacoco1","E156","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"663","Coconacoco1","E158","F","Enyelle","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"703","Coconacoco1","E161","F","Bongoye","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"715","Coconacoco1","E162","F","Enyelle","Personne âgée",NA,-Inf,-Inf,9,2,"Enyelle"
"734","Coconacoco1","E164","M","Mimbelli","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"742","Coconacoco1","E165","M","Coconacoco1","FALSE",NA,-Inf,-Inf,0,0,"Enyelle"
"762","Kombo1","E167","F","Kombo3","Personne âgée",NA,-Inf,-Inf,3,1,"Enyelle"
"816","Kombo1","E171","F","Enyelle","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"831","Kombo3","E173","M","Kombo3","Adulte",NA,-Inf,-Inf,3,1,"Enyelle"
"852","Kombo1","E175","F","Enyelle","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"862","Coconacoco1","E176","M","Coconacoco1","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"873","Kombo3","E177","F","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"883","Kombo3","E178","F","Molapa_EN","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"903","Essembo4","E18","F","Enyelle","Personne âgée",NA,-Inf,-Inf,11,0,"Enyelle"
"914","Kombo3","E180","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"932","Kombo2","E182","F","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"952","Kombo2","E184","M","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"962","Kombo2","E185","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"972","Kombo2","E186","F","Kombo1","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1014","Essembo3","E19","F","Bétou","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"1032","Bopongo","E191","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1052","Bopongo","E193","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1062","Bopongo","E194","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1072","Bopongo","E195","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1083","Bopongo","E196","F","Mimbelli","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"1092","Bopongo","E197","F","Bissambi","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1112","Bopongo","E199","M","Djoubé","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1122","Lokoko6","E2","F","Enyelle","Personne âgée",NA,-Inf,-Inf,14,1,"Enyelle"
"1132","Essembo3","E20","F","Bétou","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1141","Bopongo","E200","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1152","Bopongo","E201","F","Bissambi","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"1161","Bopongo","E202","M","Mimbelli","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"1172","Bopongo","E203","F","","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"1191","Bopongo","E205","M","Midjoukou","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"1203","Bopongo","E206","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1222","Bopongo","E208","M","Coconacoco2","FALSE",NA,-Inf,-Inf,0,0,"Enyelle"
"1252","Bopongo","E210","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1262","Bopongo","E211","F","Mimbelli","Personne âgée",NA,-Inf,-Inf,4,1,"Enyelle"
"1272","Coconacoco1","E212","F","Enyelle","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"1302","Coconacoco1","E215","F","Enyelle","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"1322","Coconacoco1","E217","F","Bongoye","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"1332","Coconacoco1","E218","F","Coconacoco1","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"1352","Essembo4","E22","M","Enyelle","Adulte",NA,-Inf,-Inf,7,1,"Enyelle"
"1362","Coconacoco1","E220","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1372","Coconacoco1","E221","M","Dongou","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1392","Coconacoco1","E223","F","Coconacoco1","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"1413","Coconacoco1","E225","M","Coconacoco1","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1481","Coconacoco1","E231","M","Enyelle","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"1521","Coconacoco1","E235","M","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1531","Coconacoco1","E236","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1541","Coconacoco1","E237","F","Coconacoco1","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1551","Coconacoco1","E238","F","Enyelle","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"1561","Coconacoco1","E239","M","Kombo1","Adulte",NA,-Inf,-Inf,0,0,"Enyelle"
"1582","Coconacoco2","E240","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1591","Coconacoco2","E241","F","Coconacoco2","Personne âgée",NA,-Inf,-Inf,1,0,"Enyelle"
"1601","Coconacoco2","E242","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1611","Coconacoco2","E243","M","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1631","Coconacoco2","E246","M","Mimbelli","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"1641","Coconacoco2","E248","F","Bongoye","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"1662","Ngouanguébé","E25","M","Enyelle","Adulte",NA,-Inf,-Inf,6,1,"Enyelle"
"1691","Coconacoco2","E252","F","Enyelle","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"1711","Coconacoco2","E254","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1721","Coconacoco2","E255","M","Mimbelli","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"177","Essembo5","E26","M","Enyelle","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"179","Coconacoco2","E261","F","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"180","Coconacoco2","E262","M","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"184","Coconacoco2","E266","F","Enyelle","Adulte",12455.3312575878,24042.5825917711,868.079923404573,5,3,"Enyelle"
"186","Coconacoco2","E268","F","","Personne âgée",NA,-Inf,-Inf,1,0,"Enyelle"
"187","Coconacoco2","E269","M","Mimbelli","Personne âgée",NA,-Inf,-Inf,1,0,"Enyelle"
"189","Kombo3","E270","F","Kombo3","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"190","Coconacoco2","E271","M","Mimbelli","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"191","Coconacoco2","E272","F","Mimputu","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"195","Coconacoco2","E276","F","","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"196","Coconacoco2","E277","F","Enyelle","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"198","Coconacoco2","E279","M","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"200","Essembo5","E29","F","Enyelle","Adulte",NA,-Inf,-Inf,8,1,"Enyelle"
"202","Essembo5","E31","M","Enyelle","Personne âgée",NA,-Inf,-Inf,7,0,"Enyelle"
"203","Essembo1","E32","M","Essembo1","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"205","Essembo1","E34","F","Enyelle","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"206","Essembo1","E35","M","Enyelle","Adolescent",NA,-Inf,-Inf,4,0,"Enyelle"
"207","Essembo1","E36","F","Enyelle","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"208","Essembo1","E37","F","Enyelle","Personne âgée",NA,-Inf,-Inf,7,0,"Enyelle"
"210","Misseké","E39","F","Mokinda","Adulte",NA,-Inf,-Inf,3,1,"Enyelle"
"212","Misseké","E40","F","Sambo","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"213","Misseké","E41","F","Essembo","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"214","Misseké","E42","F","Lokoko","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"216","Misseké","E44","F","Enyelle","Adulte",NA,-Inf,-Inf,15,0,"Enyelle"
"217","Mossomé","E45","M","Bétou","Adulte",NA,-Inf,-Inf,14,0,"Enyelle"
"219","Mossomé","E47","F","Enyelle","Adulte",NA,-Inf,-Inf,18,0,"Enyelle"
"220","Mossomé","E48","F","","Adulte",NA,-Inf,-Inf,23,0,"Enyelle"
"222","Likeko","E5","F","Enyelle","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"223","Mossomé","E50","F","Landza","Adulte",NA,-Inf,-Inf,22,0,"Enyelle"
"224","Lokoko6","E51","F","Bétou","Adulte",NA,-Inf,-Inf,14,0,"Enyelle"
"226","Lokoko4","E53","M","Enyelle","Adulte",2995.43220613076,3041.62338638196,2949.24102587956,26,6,"Enyelle"
"227","Lokoko4","E54","F","Mokinda","Personne âgée",3041.62338638196,5391.86807314013,2949.24102587956,18,8,"Enyelle"
"231","Lokoko2","E58","M","Bétou","Adulte",3139.53928314682,3185.72510238498,3093.35346390866,17,2,"Enyelle"
"232","Lokoko4","E59","F","Enyelle","Adulte",2995.43220613076,3041.62338638196,2949.24102587956,19,6,"Enyelle"
"234","Lokoko4","E60","F","Enyelle","Adolescent",2995.43220613076,3041.62338638196,2949.24102587956,17,7,"Enyelle"
"236","Mossomé","E62","F","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"237","Lokoko6","E63","M","Enyelle","Personne âgée",NA,-Inf,-Inf,10,0,"Enyelle"
"238","Mossomé","E64","M","Enyelle","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"239","Lokoko2","E65","F","Enyelle","Personne âgée",3139.53928314682,3185.72510238498,3093.35346390866,13,7,"Enyelle"
"242","Lokoko2","E68","F","Enyelle","Adulte",3185.72510238498,3185.72510238498,3185.72510238498,9,3,"Enyelle"
"245","Lokoko6","E70","F","Lokoko6","Adulte",NA,-Inf,-Inf,0,0,"Enyelle"
"246","Lokoko6","E71","F","Enyelle","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"247","Lokoko6","E72","M","Essembo","Adolescent",2942.11707650757,2942.11707650757,2942.11707650757,9,1,"Enyelle"
"248","Lokoko1","E73","M","Bétou","Adulte",NA,-Inf,-Inf,11,0,"Enyelle"
"251","Lokoko1","E76","F","Enyelle","Adulte",NA,-Inf,-Inf,12,1,"Enyelle"
"253","Lokoko1","E78","M","Bétou","Adulte",NA,-Inf,-Inf,10,1,"Enyelle"
"255","Likeko","E8","F","Enyelle","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"256","Lokoko4","E80","F","Lokoko4","Adulte",NA,-Inf,-Inf,9,1,"Enyelle"
"257","Lokoko4","E81","M","Lokoko4","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"258","Lokoko4","E82","M","Lokoko4","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"259","Lokoko2","E83","F","Lokoko2","Adulte",3139.53928314682,3185.72510238498,3093.35346390866,8,2,"Enyelle"
"260","Lokoko1","E84","F","Enyelle","Adulte",NA,-Inf,-Inf,14,0,"Enyelle"
"266","Likeko","E9","F","Essembo","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"269","Lokoko4","E92","F","Lokoko4","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"271","Lokoko1","E94","M","Enyelle","Adulte",63648.5633703872,114738.566813808,12558.5599269666,22,2,"Enyelle"
"273","Lokoko1","E96","F","Bangui_CAR","Personne âgée",NA,-Inf,-Inf,4,1,"Enyelle"
"274","Lokoko1","E97","F","Bétou","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"275","Lokoko1","E98","F","Bissambi","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"276","Lokoko1","E99","F","Essembo","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"415","Wongo5","BE4","M","Ngongou","Adulte",NA,-Inf,-Inf,10,0,"betou"
"817","Wongo5","BE8","F","","Adulte",1100.94942371367,1100.94942371367,1100.94942371367,11,1,"betou"
"1015","Wongo3","BE10","M","Kenkenze","Adulte",NA,-Inf,-Inf,10,0,"betou"
"1113","Wongo3","BE12","F","","Adulte",841.828490583558,1211.96981216187,450.129624156412,10,3,"betou"
"1211","Wongo2","BE13","M","Bétou","Personne âgée",NA,-Inf,-Inf,11,0,"betou"
"1414","Wongo3","BE15","M","Kenkenze","Adulte",NA,-Inf,-Inf,10,0,"betou"
"16","Wongo2","BE17","F","Kenkenze","Personne âgée",NA,-Inf,-Inf,9,0,"betou"
"178","Wongo1","BE18","M","Mongoumba","Adulte",NA,-Inf,-Inf,10,0,"betou"
"183","Koueta","BE19","F","Wongo1","Personne âgée",7241.97181018645,8426.33787066172,6057.60574971117,6,2,"betou"
"194","Wongo1","BE20","M","Mongoumba","Personne âgée",NA,-Inf,-Inf,12,0,"betou"
"209","Wongo1","BE21","F","","Personne âgée",684.523162201362,684.523162201362,684.523162201362,11,1,"betou"
"252","Popo3","BE26","M","Bétou","Adulte",NA,-Inf,-Inf,9,0,"betou"
"302","Popo1","BE31","M","Bétou","Adulte",3920.87992144392,3920.87992144392,3920.87992144392,10,1,"betou"
"312","Bobo1","BE32","F","Enyelle","Adulte",570.637756133114,570.637756133114,570.637756133114,16,1,"betou"
"323","Popo1","BE33","F","","Adulte",NA,-Inf,-Inf,8,0,"betou"
"354","Popo3","BE36","M","Bétou","Adulte",NA,-Inf,-Inf,9,0,"betou"
"372","Popo3","BE39","F","Bétou","Adulte",3992.7576761351,3992.7576761351,3992.7576761351,7,1,"betou"
