"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_gather","region"
"46","Boua2","M127","F","Bangui","Adulte",9617.93209006675,10235.1190240658,8919.50767534176,9,6,"Macao"
"47","Kakélo4","M116","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"49","Kakélo1","M96","M","Bangui","Adulte",86565.58499299,86565.58499299,86565.58499299,7,1,"Macao"
"53","Papé","M49","F","Papé","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"56","Kakélo3","M140","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"58","Kakélo6","M103","M","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"59","Boua1","M92","F","Bangui","Adulte",10265.7412178051,10411.3955637844,10120.0868718259,11,3,"Macao"
"63","Kakélo6","M108","F","Bangui","Adulte",9192.03485071522,10235.1190240658,8148.95067736465,8,2,"Macao"
"64","Bakouengué","M31","M","Berandjokou","Adulte",24156.7445854683,24156.7445854683,24156.7445854683,9,1,"Macao"
"65","Kakélo5","M99","F","Bangui","Adulte",2009.72857423378,7848.88419351203,274.674893840174,8,6,"Macao"
"71","Molapa_MA","M24","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"73","Kakélo2","M83","M","Bangui","Adulte",51756.9057453129,51756.9057453129,51756.9057453129,2,1,"Macao"
"75","Bateké1","M12","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"77","Kakélo6","M150","M","Macao","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"79","Mopendé","M41","F","Papé","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"80","Kakélo4","M115","M","","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"81","Kakélo2","M131","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"82","Molapa_MA","M25","F","Macao","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"84","Boua1","M137","F","Dongou","Adulte",9128.94671198502,9172.8837897126,9085.00963425744,4,2,"Macao"
"85","Kakélo1","M97","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"88","Atanga","M172","F","Macao","Adolescent",7467.34026956874,7467.34026956874,7467.34026956874,7,1,"Macao"
"90","Boua2","M122","F","Bangui","Adulte",9011.84018413536,9011.84018413536,9011.84018413536,3,1,"Macao"
"91","Kakélo4","M161","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"94","Kakélo2","M89","M","Bangui","Adolescent",NA,-Inf,-Inf,4,0,"Macao"
"95","Moyimbi","M1","F","Dongou","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"96","Kakélo6","M107","M","Bayanga","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"97","Moyimbi","M7","M","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"98","Mopendé","M33","M","Papé","Personne âgée",NA,-Inf,-Inf,6,0,"Macao"
"99","Mopendé","M37","M","Papé","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"100","Malomba","M55","M","Bangui","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"102","Atanga","M177","F","Macao","Adulte",7700.28802650198,13414.890310879,1189.62061529255,13,6,"Macao"
"103","Mopendé","M39","M","Papé","Adulte",3761.25540820606,3761.25540820606,3761.25540820606,2,1,"Macao"
"105","Boua1","M67","M","Bangui","Adulte",5739.63654613319,9172.8837897126,2306.38930255378,8,2,"Macao"
"106","Atanga","M171","F","Macao","Adulte",13207.5851184748,13414.890310879,7933.23578343522,14,3,"Macao"
"108","Kakélo6","M159","F","Bangui","Adulte",2341.8448165916,2341.8448165916,2341.8448165916,6,1,"Macao"
"112","Bateké2","M16","F","Moudjanda","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"115","Atanga","M176","F","Thanry","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"117","Molapa_MA","M19","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"118","Boua1","M62","M","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"120","Boua1","M69","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"122","Kakélo6","M158","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"123","Atanga","M170","F","Macao","Personne âgée",7933.23578343522,8433.82904666263,7467.34026956874,6,3,"Macao"
"126","Kakélo2","M88","M","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"127","Malomba","M56","F","Macao","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"128","Kakélo4","M120","F","Bangui","Adolescent",7756.07326036817,7756.07326036817,7756.07326036817,3,1,"Macao"
"129","Boua2","M121","M","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"130","Kakélo1","M139","M","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
