"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_fam_visit","region"
"38","Moyimbi","M2","M","Dongou","Adulte",108418.047006884,108418.047006884,108418.047006884,3,1,"Macao"
"39","Boua2","M74","M","Bangui","Adulte",54223.313255282,54223.313255282,54223.313255282,2,1,"Macao"
"40","Moyimbi","M5","F","Mobongo","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"41","Bakouengué","M26","F","Macao","Adulte",23900.5982679839,23900.5982679839,23900.5982679839,3,1,"Macao"
"42","Kakélo6","M154","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"43","Movossovosso","M81","M","Dongou","Personne âgée",124896.55965898,124896.55965898,124896.55965898,3,1,"Macao"
"44","Boua1","M93","M","Bangui","Adolescent",NA,-Inf,-Inf,10,0,"Macao"
"46","Boua2","M127","F","Bangui","Adulte",179.958241540146,179.958241540146,179.958241540146,9,1,"Macao"
"47","Kakélo4","M116","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"49","Kakélo1","M96","M","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"53","Papé","M49","F","Papé","Adolescent",34925.8157462238,34925.8157462238,34925.8157462238,1,1,"Macao"
"56","Kakélo3","M140","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"58","Kakélo6","M103","M","Bangui","Adulte",96471.9191831083,96471.9191831083,96471.9191831083,8,1,"Macao"
"59","Boua1","M92","F","Bangui","Adulte",NA,-Inf,-Inf,11,0,"Macao"
"63","Kakélo6","M108","F","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"64","Bakouengué","M31","M","Berandjokou","Adulte",92570.9672401538,119852.135101528,65289.7993787792,9,2,"Macao"
"65","Kakélo5","M99","F","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"71","Molapa_MA","M24","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"73","Kakélo2","M83","M","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"75","Bateké1","M12","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"77","Kakélo6","M150","M","Macao","Adulte",50376.2539772928,50376.2539772928,50376.2539772928,5,1,"Macao"
"79","Mopendé","M41","F","Papé","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"80","Kakélo4","M115","M","","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"81","Kakélo2","M131","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"82","Molapa_MA","M25","F","Macao","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"84","Boua1","M137","F","Dongou","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"85","Kakélo1","M97","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"88","Atanga","M172","F","Macao","Adolescent",NA,-Inf,-Inf,7,0,"Macao"
"90","Boua2","M122","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"91","Kakélo4","M161","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"94","Kakélo2","M89","M","Bangui","Adolescent",NA,-Inf,-Inf,4,0,"Macao"
"95","Moyimbi","M1","F","Dongou","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"96","Kakélo6","M107","M","Bayanga","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"97","Moyimbi","M7","M","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"98","Mopendé","M33","M","Papé","Personne âgée",112567.302450811,143078.520478858,3837.0658469564,6,3,"Macao"
"99","Mopendé","M37","M","Papé","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"100","Malomba","M55","M","Bangui","Personne âgée",3665.17937187599,3665.17937187599,3665.17937187599,3,1,"Macao"
"102","Atanga","M177","F","Macao","Adulte",16245.3167618125,108144.948418122,4046.18989633476,13,3,"Macao"
"103","Mopendé","M39","M","Papé","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"105","Boua1","M67","M","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"106","Atanga","M171","F","Macao","Adulte",70533.4263583732,80522.0878234565,16245.3167618125,14,3,"Macao"
"108","Kakélo6","M159","F","Bangui","Adulte",2796.94375733602,2796.94375733602,2796.94375733602,6,1,"Macao"
"112","Bateké2","M16","F","Moudjanda","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
