,residence_camp,ref,sex,birthplace,age,median_dist,max_dist,min_dist,region,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_dance,times_fam_visit,times_fish,times_gather
1581,Macao_camp9,M359,M,Macao,Adulte,1149.656598,1149.656598,1149.656598,Macao,3,1,0,0,0,1,0,0,0
159,Macao_camp10,M360,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,1,0,0
160,Macao_camp4,M361,F,Macao,Adolescent,NA,#NAME?,#NAME?,Macao,1,1,0,0,0,0,0,0,0
161,Pape_village,M362,M,Berandjokou,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
162,Macao_camp10,M363,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,1,0,0
163,Pape_village,M364,F,Pape_village,Adolescent,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,1,0,0
164,Pape_village,M365,M,Berandjokou,Adolescent,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
1651,Pape_village,M366,F,Pape_village,Adolescent,NA,#NAME?,#NAME?,Macao,3,0,0,0,0,0,3,0,0
1661,Pape_village,M367,M,Bangui-motaba,Personne âgée,NA,#NAME?,#NAME?,Macao,8,1,2,0,0,0,2,1,0
1671,Pape_village,M368,M,Pape_village,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
168,Pape_village,M369,F,,Adolescent,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,2,0,0
169,Pape_village,M370,F,,Adulte,1383.548858,1383.548858,1383.548858,Macao,2,0,0,0,0,1,1,0,0
170,Pape_village,M370,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
171,Pape_village,M372,M,Pape_village,Personne âgée,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,2,0,0
172,Bayamoto,M400,F,Bangui,,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
173,Bete2,M375,,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
174,Bete1,M374,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
175,Bylikombo1,MI205,M,Mossombo,Adulte,24300.1225,24300.1225,24300.1225,Minganga,4,0,0,0,0,1,1,1,0
211,Bylikombo1,MI206,F,Mossombo,Adulte,14615.28721,24010.0708,1037.583792,Minganga,4,0,0,0,0,3,0,1,0
310,Bylikombo1,MI209,F,Mossombo,Adulte,1037.583792,1037.583792,1037.583792,Minganga,3,0,0,0,0,1,1,1,0
412,Bylikombo1,MI211,F,Mossombo,Adulte,14615.28721,14615.28721,14615.28721,Minganga,1,0,0,0,0,1,0,0,0
511,Bylikombo1,MI212,M,Mossombo,Adolescent,NA,#NAME?,#NAME?,Minganga,4,0,1,0,0,0,0,1,0
610,Bylikombo2,MI210,F,Mossombo,Personne âgée,NA,#NAME?,#NAME?,Minganga,5,1,0,0,0,0,2,1,0
712,Bouma,MI154,M,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,2,0,0,0,0,0,1,0,1
812,Bouma,MI155,F,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,4,0,0,0,0,0,1,0,0
1312,Bouma,MI160,M,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,0,0
1410,Bouma,MI161,F,Impfondo,Adulte,NA,#NAME?,#NAME?,Minganga,3,0,0,0,0,0,1,0,0
1510,Bouma,MI162,F,Mossombo,Personne âgée,NA,#NAME?,#NAME?,Minganga,5,0,0,0,0,0,4,0,0
201,Bouma,MI178,F,Mossombo,Adolescent,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,0,0
215,Bouma,MI179,F,Mossombo,Adolescent,NA,#NAME?,#NAME?,Minganga,0,0,0,0,0,0,0,0,0
225,Bouma,MI180,F,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,0,0
235,Bouma,MI181,M,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,2,0,0,0,0,0,0,0,0
25,Bylikombo1,MI207,M,Mossombo,Adulte,1037.583792,1037.583792,1037.583792,Minganga,2,0,0,0,0,1,0,1,0
261,Bylikombo1,MI208,F,Mossombo,Personne âgée,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,1,0
351,Bylikombo2,MI216,M,Mobangui,Adulte,NA,#NAME?,#NAME?,Minganga,4,0,0,0,0,0,4,0,0
402,Bylikombo2,MI226,F,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,3,0,0,0,0,0,2,1,0
413,Essesse,MI187,M,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,4,1,1,0,0,0,1,0,0
422,Essesse,MI188,F,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,1,0,0
432,Essesse,MI189,F,Mossombo,Adolescent,36901.20183,36901.20183,36901.20183,Minganga,5,1,0,0,0,1,0,0,1
462,Essesse,MI192,F,Toukoulaka,Adolescent,14858.30804,14858.30804,14858.30804,Minganga,2,0,0,0,0,1,0,1,0
472,Essesse,MI193,F,Mossombo,Personne âgée,NA,#NAME?,#NAME?,Minganga,0,0,0,0,0,0,0,0,0
48,Essesse,MI195,M,Mbili,Adulte,25957.29577,37056.28349,14858.30804,Minganga,4,0,0,0,0,2,1,0,0
491,Essesse,MI196,F,Mbili,Adolescent,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,0,0
501,Essesse,MI197,F,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,5,0,0,0,1,0,0,0,0
512,Essesse,MI198,F,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,2,1,0,0,0,0,1,0,0
551,Essesse,MI227,,,,NA,#NAME?,#NAME?,Minganga,0,0,0,0,0,0,0,0,0
562,Mbaya,MI202,F,,Adolescent,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,1,0
57,Mbaya,MI203,M,,Adolescent,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,1,0
582,Mbila,MI167,F,Mbili,Personne âgée,NA,#NAME?,#NAME?,Minganga,2,0,0,0,0,0,2,0,0
592,Mbila,MI168,M,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,0,0
601,Mbila,MI169,F,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,3,0,0,0,0,0,0,0,0
661,Mbila,MI175,M,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,3,0,0,0,0,0,1,0,0
671,Mbila,MI176,F,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,3,0,0,0,0,0,1,0,0
681,Mbila,MI177,M,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,3,0,1,0,0,0,1,0,1
69,Misseké_MI,MI145,M,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,2,0,0,0,0,0,0,1,0
701,Misseké_MI,MI146,F,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,2,0,0,0,0,0,1,1,0
732,Misseké_MI,MI149,M,Ikelemba,Personne âgée,NA,#NAME?,#NAME?,Minganga,4,0,3,0,0,0,0,1,0
741,Misseké_MI,MI150,M,Attention,Adulte,17117.89895,17117.89895,17117.89895,Minganga,1,0,0,0,0,1,0,0,0
752,Misseké_MI,MI151,F,Attention,Adulte,23633.81348,23633.81348,23633.81348,Minganga,4,0,0,0,0,1,0,1,0
781,Mongo,MI134,M,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,3,0,0,0,0,0,2,1,0
802,Mongo,MI136,F,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,2,0,0,0,0,0,1,0,0
813,Mongo,MI137,F,Mossombo,Personne âgée,13433.70394,13433.70394,13433.70394,Minganga,4,0,0,0,0,1,0,0,0
822,Mongo,MI138,M,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,2,0,1,0,0,0,0,1,0
871,Mongo,MI143,M,Mossombo,Adulte,13433.70394,13433.70394,13433.70394,Minganga,4,0,0,0,0,1,0,1,0
882,Mossombo,MI144,M,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,2,0,0,0,0,0,0,1,0
891,Ngata,MI182,F,Mbili,,NA,#NAME?,#NAME?,Minganga,0,0,0,0,0,0,0,0,0
902,Ngata,MI183,F,Mbili,Personne âgée,NA,#NAME?,#NAME?,Minganga,3,1,0,0,0,0,0,0,0
912,Ngata,MI184,M,Ikelemba,Adulte,NA,#NAME?,#NAME?,Minganga,0,0,0,0,0,0,0,0,0
921,Ngata,MI185,M,Mbili,Adolescent,NA,#NAME?,#NAME?,Minganga,5,1,3,0,0,0,0,1,0
218,Makossa1,MI10,M,Minganga,Adulte,23581.45777,34795.06942,12367.84613,Minganga,19,0,1,0,0,2,1,1,0
814,VMA,MI105,F,Mbili,Personne âgée,NA,#NAME?,#NAME?,Minganga,4,2,0,0,0,0,1,1,0
910,VMA,MI106,F,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,0,0,2,5,10
1011,Bokéya1,MI107,M,Attention,Adolescent,19394.16801,19394.16801,19394.16801,Minganga,14,0,0,0,3,1,1,1,0
1210,Bokéya1,MI109,M,Attention,Adulte,19394.16801,19394.16801,19394.16801,Minganga,18,0,0,1,1,1,0,5,0
1313,Makossa3,MI11,F,Mossombo,Personne âgée,NA,#NAME?,#NAME?,Minganga,9,2,0,0,0,0,0,0,0
1411,Bokéya1,MI110,F,Toukoulaka,Adulte,NA,#NAME?,#NAME?,Minganga,18,0,0,0,2,0,1,2,5
176,Bokéya1,MI113,M,Attention,Adulte,19047.86054,19047.86054,19047.86054,Minganga,18,0,0,1,4,1,3,4,0
181,Moundouala1,MI114,M,,Adulte,16788.28995,16788.28995,16788.28995,Minganga,18,0,0,1,0,1,1,5,2
192,Bokéya1,MI115,F,Bène,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,0,0,2,1,7
204,Bokéya1,MI116,F,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,16,0,0,0,0,0,1,6,3
2110,Moundouala1,MI117,F,Toukoulaka,Adulte,NA,#NAME?,#NAME?,Minganga,16,0,0,0,0,0,1,4,4
241,Makossa3,MI12,F,Mossombo,Personne âgée,NA,#NAME?,#NAME?,Minganga,16,0,0,0,0,0,3,0,0
277,Ndémiko,MI122,F,Toukoulaka,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,0,0,1,4,5
281,Ndémiko,MI123,M,Minganga,Adulte,20488.40306,20488.40306,20488.40306,Minganga,20,0,0,2,5,1,2,4,3
30,Ndémiko,MI125,M,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,0,0,1,1,8
311,Ndémiko,MI126,M,Attention,Adolescent,NA,#NAME?,#NAME?,Minganga,18,0,0,0,0,0,1,7,2
321,Epopé,MI127,M,Attention,Adulte,17208.72188,17323.89092,17093.55284,Minganga,18,0,0,0,3,2,4,1,7
331,Ndémiko,MI128,F,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,0,0,2,1,8
34,Ndémiko,MI129,F,Bène,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,0,0,2,1,8
352,Makossa1,MI13,F,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,9,0,0,0,0,0,2,0,0
392,Epopé,MI133,F,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,18,0,0,0,0,0,1,1,8
414,Mbaya,MI15,F,Mbili,Adolescent,NA,#NAME?,#NAME?,Minganga,12,0,0,0,0,0,1,0,0
433,Mbaya,MI17,M,Mossombo,Personne âgée,6482.711479,6482.711479,6482.711479,Minganga,22,1,1,0,0,1,2,4,0
442,Mbaya,MI18,F,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,0,0,0,2,0
451,VMA,MI19,M,Minganga,Adolescent,NA,#NAME?,#NAME?,Minganga,17,1,0,0,0,0,0,0,0
473,Mbaya,MI20,F,Mbaya,Adolescent,NA,#NAME?,#NAME?,Minganga,10,0,0,0,0,0,0,1,0
481,Mbaya,MI21,F,Mossombo,Personne âgée,6482.711479,6482.711479,6482.711479,Minganga,13,1,0,0,0,1,1,4,0
492,Mbaya,MI22,M,Minganga,Adulte,20470.5867,20470.5867,20470.5867,Minganga,17,0,0,0,0,1,0,1,0
521,VMA,MI25,M,Minganga,Personne âgée,NA,#NAME?,#NAME?,Minganga,11,1,2,2,0,0,0,2,0
532,VMA,MI26,F,Minganga,Personne âgée,NA,#NAME?,#NAME?,Minganga,10,0,0,0,0,0,1,3,0
541,Bylikombo2,MI27,F,Minganga,Adolescent,NA,#NAME?,#NAME?,Minganga,0,0,0,0,0,0,0,0,0
552,Bylikombo2,MI28,F,Minganga,Personne âgée,NA,#NAME?,#NAME?,Minganga,12,1,0,0,1,0,6,0,0
563,Bylikombo2,MI29,M,Minganga,Adulte,1241.301714,1241.301714,1241.301714,Minganga,8,1,0,0,0,1,2,1,0
571,Makossa3,MI3,F,,Adolescent,NA,#NAME?,#NAME?,Minganga,0,0,0,0,0,0,0,0,0
583,Avocat,MI30,M,Toukoulaka,Adolescent,NA,#NAME?,#NAME?,Minganga,17,1,0,2,1,0,0,0,0
593,Epopé,MI31,F,Toukoulaka,Personne âgée,9739.371922,9739.371922,9739.371922,Minganga,18,1,0,0,0,1,3,1,2
602,Avocat,MI32,M,Attention,Adolescent,NA,#NAME?,#NAME?,Minganga,5,1,2,0,0,0,0,0,0
611,Avocat,MI34,M,Toukoulaka,Adolescent,NA,#NAME?,#NAME?,Minganga,17,1,0,2,1,0,0,0,0
652,Avocat,MI38,F,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,18,1,0,0,0,0,0,2,0
662,Avocat,MI39,M,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,20,1,0,0,0,0,0,3,0
691,Avocat,MI41,M,Minganga,Personne âgée,63025.92972,63025.92972,63025.92972,Minganga,20,1,0,0,0,1,2,2,4
702,Avocat,MI42,F,Attention,Adolescent,NA,#NAME?,#NAME?,Minganga,0,0,0,0,0,0,0,0,0
713,Avocat,MI43,F,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,18,1,1,0,0,0,2,0,3
721,Avocat,MI44,F,Bène,Personne âgée,NA,#NAME?,#NAME?,Minganga,19,2,0,0,0,0,1,2,0
733,Avocat,MI45,M,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,18,1,0,0,0,0,0,3,4
753,Moundouala2,MI47,M,Attention,Adolescent,NA,#NAME?,#NAME?,Minganga,18,1,0,0,0,0,1,2,5
761,Moundouala2,MI48,F,Attention,Adolescent,NA,#NAME?,#NAME?,Minganga,18,1,0,0,0,0,1,1,1
772,Moundouala2,MI49,F,Attention,Adolescent,NA,#NAME?,#NAME?,Minganga,1,0,0,0,0,0,0,0,0
792,Moundouala2,MI50,M,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,16,1,3,0,0,0,2,0,4
823,Moundouala2,MI53,F,,Adulte,NA,#NAME?,#NAME?,Minganga,20,1,2,0,1,0,3,0,3
842,Bokéya2,MI55,M,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,19,1,4,0,0,0,1,0,4
861,Bokéya2,MI57,F,Minganga,Personne âgée,NA,#NAME?,#NAME?,Minganga,17,1,2,0,1,0,0,0,9
872,Bokéya2,MI58,M,,Personne âgée,NA,#NAME?,#NAME?,Minganga,9,1,1,0,0,0,0,0,5
892,Makossa3,MI6,F,Mbili,Adulte,35003.81177,35003.81177,35003.81177,Minganga,13,1,0,0,0,1,1,0,0
922,Bokéya2,MI62,F,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,20,1,2,0,0,0,1,3,5
931,Epopé,MI63,M,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,16,1,3,0,0,0,2,0,1
971,Epopé,MI67,F,Toukoulaka,Adulte,NA,#NAME?,#NAME?,Minganga,19,1,4,0,1,0,1,4,2
981,Makossa2,MI68,F,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,10,0,0,0,5,0,0,1,0
1002,Makossa3,MI7,M,Mossombo,Personne âgée,NA,#NAME?,#NAME?,Minganga,9,1,0,0,0,0,2,0,2
1012,Makossa2,MI70,M,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,2,0,1,2,0
1022,Makossa2,MI71,F,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,1,0,1,2,0
1071,Makossa3,MI76,M,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,10,0,0,0,0,0,1,0,0
1082,Makossa3,MI77,F,Mbili,Adulte,NA,#NAME?,#NAME?,Minganga,8,0,0,0,0,0,2,0,0
1091,Makossa3,MI78,F,Mossombo,Adulte,30595.77179,35003.81177,26187.73181,Minganga,10,0,0,0,0,2,0,0,0
1111,Makossa3,MI8,F,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,10,0,0,0,0,0,2,0,0
1131,Makossa3,MI81,M,Mossombo,Adolescent,26187.73181,26187.73181,26187.73181,Minganga,9,0,0,0,2,1,1,0,0
1182,Mbaya,MI86,F,,Adulte,95460.00419,95460.00419,95460.00419,Minganga,11,0,0,0,0,1,2,1,0
1202,Mbaya,MI88,M,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,17,0,0,0,1,0,2,0,0
1232,Mbaya,MI90,M,Mossombo,Adulte,NA,#NAME?,#NAME?,Minganga,8,0,0,0,3,0,0,1,2
1251,Mbaya,MI92,F,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,14,0,0,0,1,0,0,0,0
1292,Bylikombo2,MI96,M,Minganga,Adulte,NA,#NAME?,#NAME?,Minganga,14,0,0,0,1,0,0,6,0
1314,VMA,MI98,M,Attention,Adulte,NA,#NAME?,#NAME?,Minganga,18,0,0,1,2,0,1,7,4
1321,Bylikombo2,MI99,F,Minganga,Adulte,24892.00542,24892.00542,24892.00542,Minganga,10,0,1,0,1,1,0,4,0
513,Lokoko1,E102,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,3,1,0,0,0,0,0,0,1
714,Sobé,E104,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,5,0,0,0,1,0,4,0,0
815,Sobé,E105,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,3,0,0,0,3,0,0,0,0
913,Sobé,E106,F,Enyelle,Adolescent,3079.55857,3079.55857,3079.55857,Enyelle,3,0,0,0,0,3,0,0,0
1013,Molapa_EN,E107,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,3,0,0,0,1,2,0,0,0
1110,Molapa_EN,E108,F,Enyelle,Adulte,14452.45465,26090.97342,2813.935878,Enyelle,5,0,0,0,0,2,2,1,0
1315,Likeko,E11,M,,Adulte,NA,#NAME?,#NAME?,Enyelle,5,1,0,0,0,2,0,1,0
1412,Molapa_EN,E110,M,Enyelle,Adolescent,14452.45465,26090.97342,2813.935878,Enyelle,5,0,0,0,0,2,3,0,0
1512,Molapa_EN,E111,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,7,0,0,0,1,2,0,0,0
182,Kombo2,E114,M,Dongou,Adulte,NA,#NAME?,#NAME?,Enyelle,19,0,0,5,1,0,10,0,1
193,Kombo2,E115,F,Enyelle,Adolescent,NA,#NAME?,#NAME?,Enyelle,10,0,0,0,3,2,4,0,0
262,Kombo2,E121,F,Enyelle,Adulte,20901.66015,39271.8686,2531.451699,Enyelle,7,0,0,0,0,4,2,0,1
282,Kombo2,E123,F,Enyelle,Adolescent,2531.451699,2531.451699,2531.451699,Enyelle,3,0,0,0,0,3,0,0,0
291,Kombo2,E124,F,Enyelle,Personne âgée,2531.451699,2531.451699,2531.451699,Enyelle,4,0,0,0,0,3,1,0,0
301,Kombo2,E125,F,Enyelle,Adolescent,2531.451699,2531.451699,2531.451699,Enyelle,5,0,0,0,1,3,1,0,0
322,Kombo2,E127,F,Enyelle,Adolescent,2531.451699,2531.451699,2531.451699,Enyelle,9,0,0,0,2,3,2,0,1
341,Bopongo,E129,M,Boyelé,Adulte,38224.40334,42169.06883,34279.73786,Enyelle,7,0,0,0,0,2,3,0,0
353,Essembo3,E13,M,Bétou,Adulte,NA,#NAME?,#NAME?,Enyelle,8,1,0,0,1,0,1,0,0
361,Bopongo,E130,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,10,0,1,4,4,0,1,0,0
382,Bopongo,E132,M,Boyelé,Adulte,34279.73786,34279.73786,34279.73786,Enyelle,7,0,0,0,2,1,4,0,0
403,Bopongo,E134,F,Enyelle,Adulte,23352.20337,23352.20337,23352.20337,Enyelle,2,0,0,0,0,1,0,0,0
434,Bopongo,E137,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,13,0,4,0,1,1,2,0,0
482,Bopongo,E141,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,4,0,0,0,0,1,0,0,0
493,Bopongo,E142,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,8,0,2,0,1,1,2,1,0
502,Bopongo,E143,F,Enyelle,Adulte,14843.82146,14843.82146,14843.82146,Enyelle,3,0,0,0,0,1,1,0,0
522,Bopongo,E145,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,0,0,2,0,0
542,Coconacoco1,E147,F,Bongoye,Adulte,1411.004865,1924.385213,897.6245166,Enyelle,8,0,0,0,1,2,0,0,1
553,Coconacoco1,E148,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,1,0,1,0,0
594,Coconacoco1,E151,M,Enyelle,Adolescent,897.6245166,897.6245166,897.6245166,Enyelle,4,0,0,0,1,2,0,0,0
603,Coconacoco1,E152,F,Enyelle,Adulte,12569.83685,24242.04919,897.6245166,Enyelle,7,0,0,0,1,4,1,0,0
612,Coconacoco1,E153,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,4,0,0,1,1,0,1,0,0
642,Coconacoco1,E156,F,Enyelle,Adulte,33392.02663,33392.02663,33392.02663,Enyelle,2,0,0,0,0,1,0,0,0
663,Coconacoco1,E158,F,Enyelle,Adulte,897.6245166,897.6245166,897.6245166,Enyelle,6,0,0,0,1,3,1,0,0
703,Coconacoco1,E161,F,Bongoye,Adolescent,897.6245166,897.6245166,897.6245166,Enyelle,3,0,0,0,1,1,1,0,0
715,Coconacoco1,E162,F,Enyelle,Personne âgée,897.6245166,897.6245166,897.6245166,Enyelle,9,0,0,0,1,1,2,0,2
734,Coconacoco1,E164,M,Mimbelli,Adulte,897.6245166,897.6245166,897.6245166,Enyelle,6,0,1,0,1,1,2,0,0
742,Coconacoco1,E165,M,Coconacoco1,FALSE,NA,#NAME?,#NAME?,Enyelle,0,0,0,0,0,0,0,0,0
762,Kombo1,E167,F,Kombo3,Personne âgée,NA,#NAME?,#NAME?,Enyelle,3,1,0,0,0,0,0,0,1
816,Kombo1,E171,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,1,0,0,0,0,0,0,0,0
831,Kombo3,E173,M,Kombo3,Adulte,NA,#NAME?,#NAME?,Enyelle,3,1,0,0,0,0,0,0,1
852,Kombo1,E175,F,Enyelle,Personne âgée,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,0,0,0,0,0
862,Coconacoco1,E176,M,Coconacoco1,Adulte,37136.06478,40880.10293,33392.02663,Enyelle,7,0,0,0,0,2,1,0,0
873,Kombo3,E177,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,5,1,2,0,0,0,1,0,0
883,Kombo3,E178,F,Molapa_EN,Adulte,NA,#NAME?,#NAME?,Enyelle,2,1,0,0,0,0,0,0,0
903,Essembo4,E18,F,Enyelle,Personne âgée,NA,#NAME?,#NAME?,Enyelle,11,0,0,0,1,0,5,1,0
914,Kombo3,E180,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,3,2,0,0,0,0,0,0,0
932,Kombo2,E182,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,4,0,0,0,0,0,1,0,0
952,Kombo2,E184,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,4,0,0,2,0,0,0,0,0
962,Kombo2,E185,F,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,3,1,0,0,0,0,0,1,0
972,Kombo2,E186,F,Kombo1,Adulte,NA,#NAME?,#NAME?,Enyelle,4,1,1,0,0,0,1,0,0
1014,Essembo3,E19,F,Bétou,Personne âgée,NA,#NAME?,#NAME?,Enyelle,5,2,0,0,0,0,1,0,0
1032,Bopongo,E191,F,Mimbelli,Adulte,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,0,0,0,0,0
1052,Bopongo,E193,F,Mimbelli,Adulte,NA,#NAME?,#NAME?,Enyelle,3,0,0,0,0,0,0,0,0
1062,Bopongo,E194,F,Mimbelli,Adulte,NA,#NAME?,#NAME?,Enyelle,2,1,0,0,0,0,0,0,0
1072,Bopongo,E195,F,Mimbelli,Adulte,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,0,0,0,0,0
1083,Bopongo,E196,F,Mimbelli,Adulte,34279.73786,34279.73786,34279.73786,Enyelle,6,0,0,0,1,2,0,0,0
1092,Bopongo,E197,F,Bissambi,Adulte,NA,#NAME?,#NAME?,Enyelle,4,2,0,0,0,0,1,0,0
1112,Bopongo,E199,M,Djoubé,Adulte,NA,#NAME?,#NAME?,Enyelle,2,1,0,0,0,1,0,0,0
1122,Lokoko6,E2,F,Enyelle,Personne âgée,NA,#NAME?,#NAME?,Enyelle,14,0,0,0,3,0,0,2,1
1132,Essembo3,E20,F,Bétou,Adulte,NA,#NAME?,#NAME?,Enyelle,4,0,0,0,0,0,1,0,0
1141,Bopongo,E200,F,Mimbelli,Adulte,NA,#NAME?,#NAME?,Enyelle,3,1,0,0,0,0,1,0,0
1152,Bopongo,E201,F,Bissambi,Personne âgée,NA,#NAME?,#NAME?,Enyelle,5,1,0,0,0,0,1,0,0
1161,Bopongo,E202,M,Mimbelli,Personne âgée,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,0,0,0,0,0
1172,Bopongo,E203,F,,Personne âgée,NA,#NAME?,#NAME?,Enyelle,2,1,0,0,0,0,0,0,0
1191,Bopongo,E205,M,Midjoukou,Personne âgée,NA,#NAME?,#NAME?,Enyelle,4,1,0,0,0,0,0,0,0
1203,Bopongo,E206,F,Mimbelli,Adulte,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,0,0,1,0,0
1222,Bopongo,E208,M,Coconacoco2,FALSE,NA,#NAME?,#NAME?,Enyelle,0,0,0,0,0,0,0,0,0
1252,Bopongo,E210,F,Mimbelli,Adulte,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,0,0,1,0,0
1262,Bopongo,E211,F,Mimbelli,Personne âgée,NA,#NAME?,#NAME?,Enyelle,4,0,0,0,0,0,0,0,1
1272,Coconacoco1,E212,F,Enyelle,Personne âgée,NA,#NAME?,#NAME?,Enyelle,2,0,0,0,0,0,0,0,0
1302,Coconacoco1,E215,F,Enyelle,Personne âgée,33392.02663,33392.02663,33392.02663,Enyelle,4,0,1,0,0,1,0,0,0
1322,Coconacoco1,E217,F,Bongoye,Personne âgée,NA,#NAME?,#NAME?,Enyelle,3,1,0,0,0,0,1,0,0
1332,Coconacoco1,E218,F,Coconacoco1,Adulte,NA,#NAME?,#NAME?,Enyelle,1,0,0,0,0,0,0,0,0
1352,Essembo4,E22,M,Enyelle,Adulte,NA,#NAME?,#NAME?,Enyelle,7,1,0,0,1,0,2,0,1
