,residence_camp,ref,sex,birthplace,age,median_dist,max_dist,min_dist,region,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_dance,times_fam_visit,times_fish,times_gather
38,Moyimbi,M2,M,Dongou,Adulte,NA,#NAME?,#NAME?,Macao,3,1,1,0,0,0,1,0,0
39,Boua2,M74,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,1,0,0
40,Moyimbi,M5,F,Mobongo,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
41,Bakouengué,M26,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,3,1,0,0,1,0,1,0,0
42,Kakélo6,M154,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
43,Movossovosso,M81,M,Dongou,Personne âgée,NA,#NAME?,#NAME?,Macao,3,1,0,0,0,0,1,0,0
44,Boua1,M93,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,10,1,0,0,0,0,0,0,2
46,Boua2,M127,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,9,0,0,0,0,0,1,1,6
47,Kakélo4,M116,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,1,0,0,0,0,0,0,0
49,Kakélo1,M96,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,7,2,0,0,0,0,0,0,1
53,Papé,M49,F,Papé,Adolescent,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,1,0,0
56,Kakélo3,M140,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,1,0,0,0,0
58,Kakélo6,M103,M,Bangui,Adulte,22658.71004,22658.71004,22658.71004,Macao,8,0,1,4,0,1,1,0,0
59,Boua1,M92,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,11,0,0,0,0,0,0,0,3
63,Kakélo6,M108,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,8,1,0,0,0,0,0,0,2
64,Bakouengué,M31,M,Berandjokou,Adulte,NA,#NAME?,#NAME?,Macao,9,1,0,0,5,0,2,0,1
65,Kakélo5,M99,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,8,1,0,0,0,0,0,0,6
71,Molapa_MA,M24,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,1,0,0,0,0,0,0,0
73,Kakélo2,M83,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,0,0,1
75,Bateké1,M12,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,0
77,Kakélo6,M150,M,Macao,Adulte,NA,#NAME?,#NAME?,Macao,5,0,0,2,0,0,1,0,0
79,Mopendé,M41,F,Papé,Adulte,NA,#NAME?,#NAME?,Macao,2,0,1,0,0,0,0,0,0
80,Kakélo4,M115,M,,Adulte,NA,#NAME?,#NAME?,Macao,2,1,0,0,0,0,0,0,0
81,Kakélo2,M131,M,Bangui,Adulte,2341.844817,2341.844817,2341.844817,Macao,6,0,0,1,3,1,0,0,0
82,Molapa_MA,M25,F,Macao,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
84,Boua1,M137,F,Dongou,Adulte,NA,#NAME?,#NAME?,Macao,4,0,0,0,1,0,0,1,2
85,Kakélo1,M97,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,2,0,0,0,0,0,0,1,0
88,Atanga,M172,F,Macao,Adolescent,NA,#NAME?,#NAME?,Macao,7,1,0,0,0,0,0,2,1
90,Boua2,M122,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,0,0,0,1,1
91,Kakélo4,M161,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,1,0,0,0,0
94,Kakélo2,M89,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,4,1,0,0,0,0,0,0,0
95,Moyimbi,M1,F,Dongou,Adulte,NA,#NAME?,#NAME?,Macao,1,1,0,0,0,0,0,0,0
