,X,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref,dist_bp_mom_bp,dist_living_mom_bp,dist_bp_dad_bp,dist_living_dad_bp,dist_living_own_bp,dist_living_mum_living,dist_living_dad_living,dist_bp_spouse_bp,dist_living_spouse_bp,dist_living_mum_inlaw_living,dist_living_dad_inlaw_living,dist_bp_mom_inlaw_bp,dist_living_mom_inlaw_bp,dist_bp_dad_inlaw_bp,dist_living_dad_inlaw_bp,camp_region.x,loc.x,people_number_2022.x,set_type
239,484,Boua1,M92,F,Bangui,Adulte,2,10954.87574,47606.64384,Macao,Bangui,Macao,,,,,,,,0,0,1752.499874,47606.64384,48740.72248,1752.499874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,17,forest_camp
240,488,Kakelo6,M108,F,Bangui,Adulte,2,11538.81383,162268.2931,Macao,Bangui,Bangui,,,Bayanga,,Bangui,,,M107,0,11840.29787,0,11840.29787,11840.29787,NA,NA,124535.2885,123337.6891,NA,NA,NA,NA,0,11840.29787,C,F,30,forest_camp
241,489,Bakouengue,M31,M,Berandjokou,Adulte,6,77877.97681,155280.3471,Macao,Mimpoutou,Berandjokou,,,Bayanga,Bayanga,Macao,,,M32,24903.34875,60756.8167,0,56030.34207,56030.34207,NA,NA,113546.3639,100874.7353,NA,NA,113546.3639,100874.7353,49989.23332,24156.74459,C,F,10,forest_camp
242,490,Kakelo5,M99,F,Bangui,Adulte,1,11509.74892,90648.67513,Macao,Bangui,Bangui,,,,,,,,0,0,11567.87874,0,11567.87874,11567.87874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,9,forest_camp
243,496,Molapa_MA,M24,M,Bangui,Adulte,0,67386.39061,95966.91579,Macao,Bangui,Macao,,,Macao,Macao,Macao,,,M25,0,22094.66991,47606.64384,25618.66856,22094.66991,NA,NA,47606.64384,25618.66856,NA,NA,47606.64384,25618.66856,47606.64384,25618.66856,C,F,20,forest_camp
244,498,Kakelo2,M83,M,Bangui,Adulte,6,10954.87574,95966.91579,Macao,Bangui,Bangui,,,Bangui,Bonguinda,Bangui,,,M84,0,10679.80333,0,10679.80333,10679.80333,NA,NA,0,10679.80333,NA,NA,NA,NA,0,10679.80333,C,F,11,forest_camp
245,500,Bateke1,M12,F,Macao,Adulte,1,20702.80918,27130.55969,Macao,Macao,Macao,,,,,,,,0,0,20395.06325,0,20395.06325,20395.06325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,10,forest_camp
246,502,Kakelo6,M150,M,Macao,Adulte,,51672.50184,173945.1799,Macao,,Goubangoye,,,Bangui,Bangui,Mbandza,,,M151,NA,NA,134612.6199,96441.641,50376.25398,NA,NA,47606.64384,11840.29787,NA,NA,47606.64384,11840.29787,NA,NA,C,F,30,forest_camp
247,504,Mopende,M41,F,Pape,Adulte,,23915.66405,93815.98986,Macao,Pape,Pape,Mopende,Mopende,Pape,Pape,,,,M39,0,3837.065847,0,3837.065847,3837.065847,0,3837.065847,0,3837.065847,NA,NA,0,3837.065847,NA,NA,C,F,9,forest_camp
248,505,Kakelo4,M115,M,,Adulte,,NA,#NAME?,Macao,,Bangui,,,,,,,,0,NA,NA,NA,11509.74892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,30,forest_camp
249,506,Kakelo2,M131,M,Bangui,Adulte,3,11307.58222,95966.91579,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M132,0,10679.80333,0,10679.80333,10679.80333,NA,NA,0,10679.80333,NA,NA,0,10679.80333,0,10679.80333,C,F,11,forest_camp
250,507,Molapa_MA,M25,F,Macao,Adulte,,26374.61412,27130.55969,Macao,Macao,Macao,,,Bangui,Bangui,Macao,,,M24,0,25618.66856,0,25618.66856,25618.66856,NA,NA,47606.64384,22094.66991,NA,NA,47606.64384,22094.66991,0,25618.66856,C,F,20,forest_camp
251,509,Boua1,M137,F,Dongou,Adulte,,94832.2103,143421.7034,Macao,,Bangui,,,Bangui,Bangui,Bangui,,,M69,NA,NA,95966.91579,1752.499874,94999.90095,NA,NA,95966.91579,1752.499874,NA,NA,95966.91579,1752.499874,95966.91579,1752.499874,C,F,17,forest_camp
252,510,Kakelo1,M97,F,Bangui,Adulte,,10804.33597,47606.64384,Macao,Bangui,Bangui,,,Bangui,Bangui,Mbanza,,,M96,0,10804.33597,0,10804.33597,10804.33597,NA,NA,0,10804.33597,NA,NA,0,10804.33597,460256.8956,449454.3457,C,F,NA,forest_camp
253,513,Atanga,M172,F,Macao,Adolescent,,32088.35349,115566.1052,Macao,Macao,Macao,Atanga,,,,,,,0,0,32571.72692,0,32571.72692,32571.72692,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,R,15,village_camp
254,515,Boua2,M122,F,Bangui,Adulte,,11105.41551,90648.67513,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M121,0,1874.172756,0,1874.172756,1874.172756,NA,NA,0,1874.172756,NA,NA,0,1874.172756,0,1874.172756,C,F,25,forest_camp
255,516,Kakelo4,M161,M,Bangui,Adulte,,11567.87874,47606.64384,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M162,0,11509.74892,0,11509.74892,11509.74892,NA,NA,0,11509.74892,NA,NA,0,11509.74892,0,11509.74892,C,F,30,forest_camp
256,519,Kakelo2,M89,M,Bangui,Adolescent,,16449.50294,162268.2931,Macao,Bangui,Bangui,,,,,,,,0,0,10679.80333,0,10679.80333,10679.80333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,11,forest_camp
257,520,Moyimbi,M1,F,Dongou,Adulte,6,116427.06,143421.7034,Macao,Dongou,Macao,,,Dongou,,Dongou,,,M2,0,108418.047,143421.7034,35003.78557,108418.047,NA,NA,0,108418.047,NA,NA,NA,NA,0,108418.047,C,F,11,forest_camp
258,521,Kakelo6,M107,M,Bayanga,Adulte,2,125152.0511,244334.8583,Macao,,Bangui,,,Bangui,Bangui,Bangui,,,M108,NA,NA,124535.2885,11840.29787,123337.6891,NA,NA,124535.2885,11840.29787,NA,NA,124535.2885,11840.29787,124535.2885,11840.29787,C,F,30,forest_camp
259,522,Moyimbi,M7,M,Macao,Adulte,2,61669.58442,164626.8908,Macao,Pape,Macao,,,Macao,Macao,Dongou,,,M8,34925.81575,4420.601652,0,35003.78557,35003.78557,NA,NA,0,35003.78557,NA,NA,0,35003.78557,143421.7034,108418.047,C,F,11,forest_camp
260,523,Mopende,M33,M,Pape,Personne âgee,,114345.0508,334770.6185,Macao,Macao,Pape,,,Pape,Pape,Pape,,,M36,34925.81575,31106.79744,0,3837.065847,3837.065847,NA,NA,0,3837.065847,NA,NA,0,3837.065847,0,3837.065847,C,F,9,forest_camp
261,524,Mopende,M37,M,Pape,Adolescent,,23915.66405,93815.98986,Macao,Pape,Pape,Mopende,Mopende,,,,,,0,0,3837.065847,0,3837.065847,3837.065847,0,3837.065847,NA,NA,NA,NA,NA,NA,NA,NA,C,F,9,forest_camp
262,525,Malomba,M55,M,Bangui,Personne âgee,,90648.67513,994195.1309,Macao,Bangui,Bayanga,,,,,,,,,0,9328.283085,124535.2885,115212.4527,9328.283085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,R,8,village_camp
263,527,Atanga,M177,F,Macao,Adulte,,34925.81575,139250.905,Macao,Macao,Macao,,,,,,,,0,0,32571.72692,0,32571.72692,32571.72692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,R,15,village_camp
264,528,Mopende,M39,M,Pape,Adulte,5,5227.300933,34925.81575,Macao,Pape,,,,Pape,Pape,Pape,Mopende,Mopende,M41,0,3837.065847,NA,NA,3837.065847,NA,NA,0,3837.065847,0,0,0,3837.065847,0,3837.065847,C,F,9,forest_camp
265,530,Boua1,M67,M,Bangui,Adulte,,11307.58222,47606.64384,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M68,0,1752.499874,0,1752.499874,1752.499874,NA,NA,0,1752.499874,NA,NA,0,1752.499874,0,1752.499874,C,F,17,forest_camp
266,531,Atanga,M171,F,Macao,Adulte,4,34964.80066,139250.905,Macao,Macao,Macao,,,,,,,,0,0,32571.72692,0,32571.72692,32571.72692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,R,15,village_camp
267,533,Kakelo6,M159,F,Bangui,Adulte,,11105.41551,90648.67513,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M158,0,11840.29787,0,11840.29787,11840.29787,NA,NA,0,11840.29787,NA,NA,0,11840.29787,0,11840.29787,C,F,30,forest_camp
268,537,Bateke2,M16,F,Moudjanda,Personne âgee,,855154.5136,861610.8204,Macao,Bangui,Berandjokou,,,,,,,,0,851909.7382,26986.30584,908811.9207,50568.07043,858451.5587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,7,forest_camp
269,540,Atanga,M176,F,Thanry,Adolescent,0,19211.18609,103155.7228,Macao,Bangui,Macao,,,,,,,,0,21223.66746,16245.31676,27130.55969,32571.72692,10718.98589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,R,15,village_camp
270,542,Molapa_MA,M19,F,Bangui,Adulte,,44560.63103,95966.91579,Macao,Bangui,Bangui,,,Macao,Macao,Macao,,,M18,0,22094.66991,0,22094.66991,22094.66991,NA,NA,47606.64384,25618.66856,NA,NA,47606.64384,25618.66856,47606.64384,25618.66856,C,F,20,forest_camp
271,543,Boua1,M62,M,Bangui,Personne âgee,5,26677.45804,127175.4169,Macao,Bangui,Bangui,,,Bangui,Bangui,Mombelou,,,M63,0,1752.499874,0,1752.499874,1752.499874,NA,NA,0,1752.499874,NA,NA,0,1752.499874,NA,NA,C,F,17,forest_camp
