,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref
52,Bokombo6,D145,F,Dongou,Personne agee,NA,27581.65194,95627.68718,Dongou,NA,NA,NA,NA,Sambala,NA,NA,NA,NA,D138
53,Bokombo6,D146,M,Ikouangala,Enfant,NA,14242.1947,152979.2828,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
54,Bokombo6,D147,M,Boucyboucy,Adolescent,NA,20954.14565,224172.027,Dongou,Manfouete,Mimbelli,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
55,Bokombo6,D148,F,Manfouete,Adulte,NA,48326.83105,222111.9266,Dongou,NA,NA,NA,NA,Mimbelli,NA,NA,NA,NA,D149
56,Bokombo6,D149,M,Mimbelli,Adulte,3,73525.03561,916147.9355,Dongou,NA,NA,NA,NA,Manfouete,NA,NA,NA,NA,D148
57,Tangassi,D15,F,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Boucyboucy,Tangassi,Tangassi,NA,NA,NA,NA,NA,0
58,Bokombo6,D150,M,Boucyboucy,Enfant,NA,13299.49668,28161.31211,Dongou,Ikouangala,Manfouete,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
59,Bokombo6,D151,M,Ikouangala,Adolescent,NA,13032.93598,80744.6322,Dongou,Ikouangala,Manfouete,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
60,Bokombo6,D152,F,Ikouangala,Adulte,2,13032.93598,61643.63055,Dongou,NA,NA,NA,NA,Manfouete,NA,NA,NA,NA,D153
61,Bokombo6,D153,M,Manfouete,Adulte,2,45706.38753,92533.4575,Dongou,NA,NA,NA,NA,Ikouangala,NA,NA,NA,NA,D152
62,Bokombo4,D154,M,Ikouangala,Enfant,NA,9898.982308,13299.49668,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
63,Bokombo5,D155,M,Sambala,Adulte,12,62800.57398,111478.8964,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D160,D162"
64,Bokombo3,D156,F,Ikouangala,Adolescent,NA,14097.48642,61643.63055,Dongou,Ikouangala,Sambala,Bokombo3,Bokombo3,NA,NA,NA,NA,NA,0
65,Bokombo3,D157,F,Ikouangala,Adulte,5,13058.47696,87166.13738,Dongou,NA,NA,NA,NA,Sambala,NA,NA,NA,NA,D174
66,Bokombo5,D158,M,Ikouangala,Enfant,NA,14097.48642,61643.63055,Dongou,Bangui,Sambala,Bokombo5,Bokombo5,NA,NA,NA,NA,NA,0
67,Bokombo5,D159,M,Ikouangala,Enfant,NA,13299.49668,14895.47617,Dongou,Manfouete,Sambala,Bokombo5,Bokombo5,NA,NA,NA,NA,NA,0
68,Tangassi,D16,F,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Boucyboucy,Tangassi,Tangassi,NA,NA,NA,NA,NA,0
69,Bokombo5,D160,F,Bangui,Adulte,NA,83966.98546,127175.4169,Dongou,NA,NA,NA,NA,Sambala,NA,NA,NA,NA,D155
70,Bokombo5,D161,M,Ikouangala,Enfant,NA,13299.49668,14895.47617,Dongou,Manfouete,Sambala,Bokombo5,Bokombo5,NA,NA,NA,NA,NA,0
71,Bokombo5,D162,F,Manfouete,Adulte,NA,47422.25973,92533.4575,Dongou,NA,NA,NA,NA,Sambala,NA,NA,NA,NA,D155
72,Bokombo4,D163,F,Boucyboucy,Enfant,NA,19937.76942,28161.31211,Dongou,Boucyboucy,Boucyboucy,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
73,Bokombo4,D164,F,Boucyboucy,Enfant,NA,19937.76942,28161.31211,Dongou,Boucyboucy,Boucyboucy,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
74,Bokombo4,D165,M,Boucyboucy,Enfant,NA,12506.86171,13299.49668,Dongou,Boucyboucy,Boucyboucy,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
75,Bokombo4,D166,F,Boucyboucy,Enfant,NA,5382.804054,13299.49668,Dongou,Boucyboucy,Boucyboucy,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
76,Bokombo4,D167,F,Boucyboucy,Adulte,NA,5431.961333,74720.04786,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D168
77,Bokombo4,D168,M,Boucyboucy,Adulte,6,5507.762328,74720.04786,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D167
78,Bokombo4,D169,M,Manfouete,Adulte,NA,42534.75089,92533.4575,Dongou,NA,NA,NA,NA,Ikouangala,NA,NA,NA,NA,D177
