ref,sex,birthplace,region,median_dist,max_dist,min_dist,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_bantu_work,times_dance,times_fam_visit,times_fish,times_gather
D381,F,Boucy-boucy,Dongou,NA,NA,NA,3,0,0,0,0,0,0,3,0,0
D384,F,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D386,M,Longa,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D388,F,Village Mapot,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D39,M,Ndzoumbele,Dongou,NA,NA,NA,2,0,2,0,0,0,0,0,0,0
D391,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D394,F,Boucy-boucy,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D395,M,Mimbelli,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D396,M,Mimbelli,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D4,M,Boucy-boucy,Dongou,24207.9944,29698.456,18717.5329,2,2,0,0,0,0,0,0,0,0
D40,F,Moangouma,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D401,F,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D402,F,Botanga,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D404,M,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D409,F,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D410,M,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D413,F,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D414,F,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D415,M,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D416,F,Mossimbi,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D419,F,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D42,M,Manfouet,Dongou,NA,NA,NA,2,0,1,0,0,0,0,0,0,0
D420,F,Dongou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D424,F,Mokombo 1,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D43,M,NA,Dongou,NA,NA,NA,3,0,0,0,0,0,0,2,0,0
D44,M,Moangouma,Dongou,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
D47,F,Boucy-boucy,Dongou,NA,NA,NA,4,0,0,0,0,0,0,2,0,1
D48,M,Boucy-boucy,Dongou,207234.411,207234.411,207234.411,2,1,0,0,0,0,0,1,0,0
D49,M,Modzaka,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D50,F,Impfondo,Dongou,34633.5082,34633.5082,34633.5082,2,1,0,0,0,0,0,1,0,0
D51,M,Moangouma,Dongou,NA,NA,NA,2,0,0,1,0,0,0,0,0,0
