,Nom.du.campement,Old_person,Adulte,Enfant...Notez.si.la.personne.est.un.enfant.,MY.REFERENCE,Sexe,Lieu.de.naissance.coded,Tranche.d.age,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,median,max,min,places_visited,total_fam_visit
52,VMA,1,1,0,MI25,M,Minganga,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,14,0
53,VMA,1,1,0,MI26,F,Minganga,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21580.69754,0,0,16992.43327,0,0,0,0,0,0,19286.5654,21580.69754,16992.43327,12,2
54,Bylikombo2,0,0,0,MI27,F,Minganga,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,0,0
55,Bylikombo2,1,1,0,MI28,F,Minganga,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,5419.288794,11280.81573,11336.97831,11748.21971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24892.00542,15503.88838,0,0,0,0,0,0,0,11542.59901,24892.00542,5419.288794,14,6
56,Bylikombo2,0,1,0,MI29,M,Minganga,Adulte,0,0,0,0,0,0,0,3708.347572,0,0,0,5419.288794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75054.53815,0,0,0,0,0,0,0,0,0,0,5419.288794,75054.53815,3708.347572,14,3
57,Makossa3,0,0,0,MI3,F,,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,0,0
58,Avocat,0,0,0,MI30,M,Toukoulaka,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,21,0
59,Epopé,1,1,0,MI31,F,Toukoulaka,Personne âgée,0,445.3657449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17323.89092,9175.106172,0,0,0,0,0,0,0,9175.106172,17323.89092,445.3657449,19,3
60,Avocat,0,0,0,MI32,M,Attention,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,6,0
61,Avocat,0,0,0,MI34,M,Toukoulaka,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,22,0
65,Avocat,0,1,0,MI38,F,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76662.17547,0,0,0,0,0,0,0,0,0,0,76662.17547,76662.17547,76662.17547,21,1
66,Avocat,0,1,0,MI39,M,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,21,0
69,Avocat,1,1,0,MI41,M,Minganga,Personne âgée,0,0,0,0,0,159.1823398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20332.85871,0,0,0,0,0,0,0,0,10246.02052,20332.85871,159.1823398,25,2
70,Avocat,0,0,0,MI42,F,Attention,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,0,0
71,Avocat,0,1,0,MI43,F,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20008.42316,20332.85871,0,0,0,0,0,0,0,0,20170.64094,20332.85871,20008.42316,19,2
72,Avocat,1,1,0,MI44,F,Bène,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20332.85871,0,0,0,0,0,0,0,0,20332.85871,20332.85871,20332.85871,21,1
73,Avocat,0,1,0,MI45,M,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,21,0
75,Moundouala2,0,0,0,MI47,M,Attention,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17192.06657,0,0,0,0,0,0,0,0,17192.06657,17192.06657,17192.06657,21,1
76,Moundouala2,0,0,0,MI48,F,Attention,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17192.06657,0,0,0,0,0,0,0,0,17192.06657,17192.06657,17192.06657,19,1
77,Moundouala2,0,0,0,MI49,F,Attention,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,1,0
79,Moundouala2,0,1,0,MI50,M,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17192.06657,9216.369835,0,0,0,0,0,0,0,13204.2182,17192.06657,9216.369835,19,2
82,Moundouala2,0,1,0,MI53,F,,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10163.00459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16915.36106,17192.06657,0,0,0,0,0,0,0,0,16915.36106,17192.06657,10163.00459,23,3
84,Bokéya2,0,1,0,MI55,M,Attention,Adulte,0,0,0,0,0,764.4639775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.4639775,764.4639775,764.4639775,21,1
86,Bokéya2,1,1,0,MI57,F,Minganga,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,17,0
87,Bokéya2,1,1,0,MI58,M,,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,13,0
89,Makossa3,0,1,0,MI6,F,Mbili,Adulte,0,0,0,0,0,0,0,0,0,0,0,6369.207902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6369.207902,6369.207902,6369.207902,14,1
92,Bokéya2,0,1,0,MI62,F,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11769.86906,0,0,0,0,0,0,0,11769.86906,11769.86906,11769.86906,21,1
93,Epopé,0,1,0,MI63,M,Attention,Adulte,0,0,2301.16162,2594.787771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447.974696,2594.787771,2301.16162,19,2
