"","Nom.du.campement.coded","Old_person","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Oui.","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","Tranche.d.age","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","median","max","min","places_visited","total_fam_visit"
"48","Essesse",0,"Adulte","MI195","M",0,NA,NA,"Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28173.8878017831,0,0,0,0,0,0,0,0,0,0,28173.8878017831,28173.8878017831,28173.8878017831,5,1
"49","Essesse",0,"Adolescent","MI196","F",0,NA,NA,"Mbili","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,6,0
"50","Essesse",0,"Adulte","MI197","F",0,NA,NA,"Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,10,0
"51","Essesse",0,"Adulte","MI198","F",1,5,1,"Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155536.936443534,0,0,0,0,0,0,0,0,0,0,0,91804.8054893862,0,0,0,0,0,0,0,0,0,28173.8878017831,0,0,0,0,0,0,0,0,0,28176.1747224329,59990.4901059095,155536.936443534,28173.8878017831,9,4
"55","Essesse",0,"","MI227","",0,NA,NA,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
"56","Mbaya",0,"Adolescent","MI202","F",0,NA,NA,"","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158455.326985449,0,0,0,0,0,0,0,0,0,0,0,96480.4217516245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127467.874368537,158455.326985449,96480.4217516245,5,2
"57","Mbaya",0,"Adolescent","MI203","M",0,NA,NA,"","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"58","Mbila",1,"Personne âgée","MI167","F",0,NA,NA,"Mbili","Personne âgée",0,0,0,0,0,0,0,0,137271.680369523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36841.5597820256,27946.1628586738,0,0,0,0,0,0,0,0,0,0,36841.5597820256,137271.680369523,27946.1628586738,6,3
"59","Mbila",0,"Adulte","MI168","M",1,7,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155654.081949365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155654.081949365,155654.081949365,155654.081949365,7,1
"60","Mbila",0,"Adulte","MI169","F",1,6,0,"Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61539.5175405109,0,0,0,0,0,0,0,0,0,0,0,0,0,61539.5175405109,61539.5175405109,61539.5175405109,5,1
"66","Mbila",0,"Adulte","MI175","M",1,4,2,"Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91908.4937194605,0,0,0,0,0,0,0,0,0,27946.1628586738,0,0,0,0,0,0,0,0,0,0,59927.3282890672,91908.4937194605,27946.1628586738,13,2
"67","Mbila",0,"Adulte","MI176","F",1,4,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61539.5175405109,36694.1180608076,0,27946.1628586738,0,0,0,0,0,0,0,0,0,27948.5326423743,32321.3253515909,61539.5175405109,27946.1628586738,6,4
"68","Mbila",0,"Adulte","MI177","M",1,3,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61539.5175405109,0,36841.5597820256,27946.1628586738,0,0,0,0,0,0,0,0,0,27948.5326423743,32395.0462121999,61539.5175405109,27946.1628586738,7,4
"69","Misseké_MI",0,"Adulte","MI145","M",1,2,0,"Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"70","Misseké_MI",0,"Adulte","MI146","F",1,2,0,"Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23633.8134814937,0,0,0,0,0,0,0,0,0,0,0,23633.8134814937,23633.8134814937,23633.8134814937,3,1
"73","Misseké_MI",1,"Personne âgée","MI149","M",1,3,5,"Ikelemba","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,6,0
"74","Misseké_MI",0,"Adulte","MI150","M",1,3,1,"Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"75","Misseké_MI",0,"Adulte","MI151","F",1,3,NA,"Attention","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"78","Mongo",0,"Adulte","MI134","M",1,5,0,"Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22213.2999245403,13433.7039439327,0,0,0,0,0,0,0,0,0,0,17823.5019342365,22213.2999245403,13433.7039439327,6,2
"80","Mongo",0,"Adulte","MI136","F",1,5,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13433.7039439327,0,0,0,0,0,0,0,0,0,0,13433.7039439327,13433.7039439327,13433.7039439327,5,1
"81","Mongo",1,"Personne âgée","MI137","F",1,4,2,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75418.3640866476,0,0,0,0,0,0,0,0,0,0,0,0,0,75418.3640866476,75418.3640866476,75418.3640866476,5,1
"82","Mongo",0,"Adulte","MI138","M",1,5,2,"Mbili","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,6,0
"87","Mongo",0,"Adulte","MI143","M",0,NA,NA,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104446.903592996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104446.903592996,104446.903592996,104446.903592996,6,1
"88","Mossombo",0,"Adulte","MI144","M",1,2,1,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,7,0
"89","Ngata",0,"","MI182","F",0,NA,NA,"Mbili","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
"90","Ngata",1,"Personne âgée","MI183","F",1,6,3,"Mbili","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61607.9510970179,0,0,0,0,0,0,0,0,0,0,0,0,0,61607.9510970179,61607.9510970179,61607.9510970179,6,1
"91","Ngata",0,"Adulte","MI184","M",0,NA,NA,"Ikelemba","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
"92","Ngata",0,"Adolescent","MI185","M",1,1,0,"Mbili","Adolescent",0,0,0,0,0,0,0,0,137232.11808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92527.8749693256,91914.8742901533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92527.8749693256,137232.11808,91914.8742901533,10,3
