"","Nom.du.campement.coded","Tranche.d.age","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....1","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","median","max","min","places_visited","total_bantu_work"
"40","Bete3","Adulte","M241","F",1,"2","1","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,2,0
"41","Bete1","Adulte","M242","M",1,"5","10","Bangui",0,97339.5157430599,0,80837.6514350458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162643.817613059,0,0,0,0,0,0,0,0,0,0,0,0,89088.5835890528,162643.817613059,16970.6482150737,8,4
"42","Bete1","Adulte","M243","F",1,"5","4","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"43","Bete1","Personne âgée","M244","F",1,"3","10","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970.6482150737,46182.5040756221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31576.5761453479,46182.5040756221,16970.6482150737,3,3
"44","Bete1","Adulte","M245","M",1,"4","5","Bangui",0,0,0,0,0,0,0,0,128679.258352249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128679.258352249,128679.258352249,128679.258352249,10,1
"45","Payo","Adulte","M246","M",1,"5","2","Boua",0,0,0,80838.0870613755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162756.001455586,0,0,0,0,0,0,0,0,0,0,0,0,121797.044258481,162756.001455586,80838.0870613755,9,3
"46","Payo","Personne âgée","M247","F",1,"3","5","",0,0,0,80838.0870613755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48887.1744265271,80838.0870613755,16936.2617916787,9,2
"47","Payo","Adulte","M248","F",1,"5","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16936.2617916787,16936.2617916787,16936.2617916787,3,2
"50","Bonga1","Adulte","M251","",1,"5","0","Mboule",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46200.1960374823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46200.1960374823,46200.1960374823,46200.1960374823,4,1
"51","Bete1","Adolescent","M252","F",1,"1","Aucun","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515.12784335266,0,0,0,0,0,46182.5040756221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23848.8159594874,46182.5040756221,1515.12784335266,3,3
"52","Bete1","Adulte","M253","F",1,"6","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515.12784335266,0,0,0,0,16970.6482150737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9242.88802921319,16970.6482150737,1515.12784335266,6,2
